Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Socialistisk Folkeparti,19518,16210,2465,843,346,99800,3861,103661,209,0,2,13366,1698,39,200,301,122,484,95,9,5,0,698594,495,717830,494,20221018,205,26,9,11089,1,18,171,Rød blok
Venstre,27114,21803,3481,1830,617,150113,54204,204317,5305,89,6,17375,796,39,3164,32,270,127,195,16,32,1,947678,501,992911,496,20221018,139,18,9,9382,1,4,112,Blå blok
Alternativet,10548,8298,1402,848,164,2129,1999,4128,275,0,1,6561,1342,8,213,14,83,77,108,4,6,1,257592,186,263459,178,20221019,98,13,8,532,1,12,77,Rød blok
Andet,572,506,14,52,115,0,0,0,22,0,0,450,38,0,7,0,2,9,20,0,2,0,195859,20,205643,29,20221019,29,1,3,0,0,2,25,Andet
Danmarksdemokraterne,6709,5824,646,239,34,216,1074,1290,0,0,0,5472,215,2,88,1,28,18,47,1,0,0,302695,249,321026,238,20221019,143,14,5,216,1,5,124,Blå blok
Dansk Folkeparti,11655,8998,1445,1212,157,80078,9279,89357,330,0,6,7836,956,7,61,18,55,65,78,7,14,0,562857,109,572557,83,20221019,149,19,16,11440,1,12,115,Blå blok
Enhedslisten,13406,10339,2251,816,186,8525,815,9340,234,385,3,8836,775,33,360,42,237,56,103,8,8,1,519511,147,534900,138,20221019,130,22,8,1066,2,8,100,Rød blok
Frie Grønne,1141,832,237,72,10,2158,581,2739,14,0,0,717,48,0,31,4,2,30,11,3,1,0,33160,45,36040,41,20221019,104,22,7,719,0,4,76,Rød blok
Konservative,17727,13685,3026,1016,505,85870,941,86811,60,399,15,12222,766,67,399,14,115,102,181,22,3,1,638236,286,672475,195,20221019,98,17,6,3903,1,4,76,Blå blok
Kristendemokraterne,1168,832,255,81,41,12880,1259,14139,103,0,1,745,19,1,24,4,31,8,39,11,5,0,64998,52,68490,46,20221019,30,7,2,1171,1,0,21,Blå blok
Liberal Alliance,9906,8624,959,323,216,41314,3247,44561,429,0,6,8118,239,4,195,11,51,6,83,8,10,1,402220,706,432078,704,20221019,119,12,4,5164,1,3,104,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112487,0,140656,-6,20221019,0,0,0,0,0,0,0,Andet
Moderaterne,4254,2815,1307,132,40,11734,1196,12930,0,39,6,2614,79,4,77,9,23,9,32,7,1,1,234541,210,236597,212,20221019,133,41,4,1676,1,2,88,Blå blok
Nye Borgerlige,29832,22999,3529,3304,138,10750,3641,14391,527,0,7,21243,1437,17,166,12,78,46,76,6,3,0,631514,482,735162,432,20221019,393,46,43,1792,1,19,303,Blå blok
Radikale Venstre,5609,4795,596,218,255,890,17,907,72,6,2,4088,365,6,235,8,36,57,69,4,2,1,643507,99,669287,84,20221019,81,9,3,223,1,5,69,Rød blok
Socialdemokratiet,36904,28828,6940,1136,577,29524,3298,32822,381,203,27,24893,1349,57,1377,165,678,309,209,17,8,2,1621271,364,1734980,312,20221019,177,33,5,1737,3,6,138,Rød blok
Socialistisk Folkeparti,68998,59015,7766,2217,346,42658,657,43315,208,0,2,47943,7520,173,604,664,291,1820,146,7,6,0,699145,551,718364,534,20221019,473,53,15,6094,2,52,404,Rød blok
Venstre,19350,15470,3170,710,617,142102,2164,144266,1635,27,2,13982,280,38,670,269,170,61,189,14,20,0,948117,439,993295,384,20221019,102,17,4,10150,1,1,82,Blå blok
Alternativet,8969,7318,998,653,164,77184,4090,81274,152,0,3,5824,1228,10,49,19,22,166,113,7,8,0,257832,240,263708,249,20221020,79,9,6,11026,0,11,65,Rød blok
Andet,1091,821,164,106,115,3930,379,4309,0,0,1,756,19,8,7,1,16,14,22,2,0,0,195866,7,205645,2,20221020,50,7,5,1965,1,1,37,Andet
Danmarksdemokraterne,11393,9285,1635,473,34,5125,2562,7687,212,0,4,8594,290,15,68,21,50,247,66,5,1,0,302964,269,321310,284,20221020,173,25,7,1025,1,4,141,Blå blok
Dansk Folkeparti,11307,8617,1661,1029,157,159356,4584,163940,812,0,5,7501,534,13,198,89,177,105,89,6,16,0,563013,156,572720,163,20221020,127,19,12,26559,2,6,97,Blå blok
Enhedslisten,15918,12014,1899,2005,186,4551,1321,5872,174,0,6,10180,948,27,455,39,297,68,121,5,7,3,519632,121,535015,115,20221020,132,16,17,910,2,8,99,Rød blok
Frie Grønne,3335,2068,943,324,10,12544,2868,15412,25,749,0,1675,181,4,62,93,27,26,12,4,1,0,33197,37,36072,32,20221020,278,79,27,3136,2,15,172,Rød blok
Konservative,31425,24613,5784,1028,505,113487,2826,116313,236,266,15,20861,988,127,1048,474,421,694,238,33,12,0,638597,361,672830,355,20221020,132,24,4,3439,2,4,103,Blå blok
Kristendemokraterne,886,722,77,87,41,995,162,1157,57,0,2,697,9,2,5,1,4,4,50,4,5,0,65029,31,68519,29,20221020,18,2,2,249,0,0,14,Blå blok
Liberal Alliance,24014,18926,2455,2633,216,15431,7254,22685,1197,0,4,18209,321,87,108,53,137,11,96,4,5,1,402893,669,432745,663,20221020,250,26,27,3858,1,3,197,Blå blok
Løsgænger,405,366,19,20,4,0,0,0,0,0,0,357,2,3,0,0,3,1,1,0,0,0,112487,0,140651,-5,20221020,405,19,20,0,3,2,366,Andet
Moderaterne,3964,3010,810,144,40,1471,440,1911,9,62,2,2847,62,3,52,4,21,21,27,4,1,0,234744,203,236801,204,20221020,147,30,5,368,1,2,111,Blå blok
Nye Borgerlige,21429,17969,1893,1567,138,98082,11905,109987,249,126,10,17208,512,12,113,12,65,47,84,16,6,0,631917,403,735553,391,20221020,255,23,19,6130,1,6,214,Blå blok
Radikale Venstre,7294,5654,879,761,255,2733,2470,5203,13,73,10,4667,350,15,71,261,132,158,97,8,1,1,643591,84,669357,70,20221020,75,9,8,342,1,4,58,Rød blok
Socialdemokratiet,39920,30620,8038,1262,577,12925,1369,14294,200,0,14,27234,1506,50,604,97,352,777,213,15,9,0,1621653,382,1735325,345,20221020,187,38,6,862,2,7,144,Rød blok
Socialistisk Folkeparti,39050,31091,4826,3133,346,70996,15997,86993,55,0,5,26580,3240,41,325,226,219,460,133,9,5,1,699606,461,718804,440,20221020,294,36,24,7888,2,24,234,Rød blok
Venstre,24805,19870,3830,1105,617,116560,2135,118695,639,31,1,17532,542,70,897,175,521,133,217,14,14,0,948653,536,993846,551,20221020,114,18,5,8326,2,2,92,Blå blok
Alternativet,12649,10651,1410,588,164,9532,432,9964,190,0,3,8392,1655,16,190,56,152,190,117,7,12,1,258012,180,263899,191,20221021,108,12,5,1362,1,14,91,Rød blok
Andet,463,406,41,16,115,1527,15,1542,0,0,0,370,26,3,1,0,2,4,23,2,0,0,195899,33,205675,30,20221021,20,2,1,764,0,1,18,Andet
Danmarksdemokraterne,8959,7808,821,330,34,1160,444,1604,357,0,3,7232,392,12,91,5,35,41,67,4,1,0,303122,158,321473,163,20221021,134,12,5,290,1,6,117,Blå blok
Dansk Folkeparti,5769,4641,732,396,157,22213,1162,23375,142,0,1,4067,290,10,163,2,70,39,74,4,6,2,563121,108,572824,104,20221021,78,10,5,5553,1,4,63,Blå blok
Enhedslisten,13499,11417,1221,861,186,16651,4247,20898,477,0,5,10384,671,27,201,18,75,41,136,8,10,4,519865,233,535246,231,20221021,99,9,6,2081,1,5,84,Rød blok
Frie Grønne,1699,1281,320,98,10,15815,1076,16891,40,0,0,1139,98,1,21,1,10,11,11,2,2,0,33223,26,36101,29,20221021,154,29,9,7908,1,9,116,Rød blok
Konservative,27692,21053,6034,605,505,147220,3951,151171,2466,168,13,12294,799,81,400,1100,223,6156,162,29,13,0,639167,570,673394,564,20221021,171,37,4,5077,1,5,130,Blå blok
Kristendemokraterne,797,515,130,152,41,7375,2425,9800,52,0,5,482,17,2,8,1,3,2,34,3,4,0,65069,40,68558,39,20221021,23,4,4,2458,0,1,15,Blå blok
Liberal Alliance,8364,7235,798,331,216,5673,186,5859,3716,0,11,6764,269,29,105,19,42,7,79,6,9,2,403621,728,433465,720,20221021,106,10,4,946,1,3,92,Blå blok
Løsgænger,243,194,47,2,4,0,0,0,0,0,0,149,3,6,32,2,2,0,1,0,0,0,112488,1,140650,-1,20221021,243,47,2,0,2,3,194,Andet
Moderaterne,3042,2248,595,199,40,21652,2040,23692,38,281,3,1977,146,3,40,2,17,63,44,8,2,1,234932,188,237005,204,20221021,69,14,5,2707,0,3,51,Blå blok
Nye Borgerlige,37465,30687,3667,3111,138,45153,2926,48079,236,53,5,28900,876,77,358,40,375,61,121,12,4,0,632296,379,735905,352,20221021,310,30,26,3763,3,7,254,Blå blok
Radikale Venstre,7267,6068,821,378,255,1352,2104,3456,813,0,4,5221,400,12,290,11,59,75,91,5,7,0,643671,80,669433,76,20221021,80,9,4,270,1,4,67,Rød blok
Socialdemokratiet,42286,34597,6503,1186,577,94790,5472,100262,657,0,23,30254,2109,54,1270,62,562,286,244,24,14,1,1622064,411,1735690,365,20221021,173,27,5,3950,2,9,142,Rød blok
Socialistisk Folkeparti,39607,32135,4236,3236,346,52341,2455,54796,89,39,4,25611,3837,79,449,546,610,1003,121,9,4,0,700059,453,719264,460,20221021,327,35,27,5816,5,32,266,Rød blok
Venstre,21253,16878,3613,762,617,130974,7428,138402,584,155,18,14345,554,60,1193,43,425,258,197,18,11,2,949079,426,994263,417,20221021,108,18,4,7276,2,3,86,Blå blok
Alternativet,7261,6069,785,407,164,2958,818,3776,78,0,4,4930,856,43,127,19,64,30,100,11,9,12,258274,262,264171,272,20221022,73,8,4,269,1,9,61,Rød blok
Andet,1314,1031,174,109,115,27978,1248,29226,0,1056,6,871,83,1,20,8,36,12,25,2,0,0,195920,21,205683,8,20221022,53,7,4,13989,1,3,41,Andet
Danmarksdemokraterne,12861,10648,1756,457,34,5505,1316,6821,99,0,2,9926,276,15,197,8,96,130,68,7,1,0,303395,273,321761,288,20221022,189,26,7,786,1,4,157,Blå blok
Dansk Folkeparti,7953,6477,824,652,157,3393,1100,4493,122,0,0,5995,344,15,46,3,48,26,71,5,2,0,563231,110,572986,162,20221022,112,12,9,679,1,5,91,Blå blok
Enhedslisten,13595,11329,1399,867,186,1980,187,2167,314,0,2,10102,680,28,233,22,190,74,131,4,5,3,520103,238,535466,220,20221022,104,11,7,495,1,5,86,Rød blok
Frie Grønne,1744,1477,205,62,10,146,0,146,0,0,0,1322,124,3,18,0,4,6,13,1,0,0,33254,31,36130,29,20221022,134,16,5,146,0,10,114,Rød blok
Konservative,24669,16554,3070,5045,505,217492,113064,330556,272,146,11,13712,702,42,1723,27,259,89,136,20,4,0,639552,385,673830,436,20221022,181,23,37,10875,2,5,122,Blå blok
Kristendemokraterne,1685,1226,312,147,41,2334,1058,3392,213,0,12,889,27,2,166,14,79,49,45,3,12,1,65108,39,68593,35,20221022,37,7,3,778,2,1,27,Blå blok
Liberal Alliance,27401,24926,1890,585,216,88370,5123,93493,101,0,13,23150,1495,30,173,18,31,29,99,10,6,1,404287,666,434116,651,20221022,277,19,6,8837,0,15,252,Blå blok
Løsgænger,1040,693,327,20,4,12274,9,12283,0,0,0,572,104,1,2,1,1,12,3,1,0,0,112471,-17,140622,-28,20221022,347,109,7,12274,0,35,231,Andet
Moderaterne,5761,4835,761,165,40,3453,1970,5423,0,318,2,4552,142,6,76,2,40,17,31,8,0,0,235153,221,237222,217,20221022,186,25,5,432,1,5,156,Blå blok
Nye Borgerlige,19301,15870,2166,1265,138,10945,5223,16168,22899,0,3,14752,534,24,232,57,231,40,84,3,2,1,632576,280,736185,280,20221022,230,26,15,3648,3,6,189,Blå blok
Radikale Venstre,4561,3768,511,282,255,19377,4965,24342,1581,0,64,3333,265,8,26,84,23,29,82,10,3,0,643724,53,669474,41,20221022,56,6,3,1938,0,3,46,Rød blok
Socialdemokratiet,58736,45011,12093,1632,577,54343,8259,62602,843,2503,24,38228,2736,71,2538,109,993,336,294,22,12,2,1622456,392,1736027,337,20221022,200,41,6,2470,3,9,153,Rød blok
Socialistisk Folkeparti,29964,25344,3259,1361,346,4980,373,5353,62,0,0,20658,2211,74,1788,57,271,285,117,6,2,0,700751,692,719917,653,20221022,256,28,12,830,2,19,217,Rød blok
Venstre,11674,9840,1393,441,617,35352,769,36121,1104,0,7,9128,256,17,206,44,120,69,164,17,6,1,949423,344,994606,343,20221022,71,8,3,2080,1,2,60,Blå blok
Alternativet,6218,4645,1023,550,164,2389,1681,4070,256,10,3,3703,608,3,240,6,42,43,96,6,5,1,258511,237,264386,215,20221023,65,11,6,398,0,6,48,Rød blok
Andet,2335,1551,639,145,115,159062,3845,162907,24,4349,6,1100,177,13,127,7,111,16,18,4,2,0,195917,-3,205661,-22,20221023,130,36,8,39766,6,10,86,Andet
Danmarksdemokraterne,19034,13805,4038,1191,34,2390,42,2432,25,0,0,13265,150,19,161,40,145,25,74,3,1,0,303848,453,322224,463,20221023,257,55,16,797,2,2,187,Blå blok
Dansk Folkeparti,14645,12304,1370,971,157,20441,2892,23333,443,0,4,8931,3123,26,35,35,110,44,84,10,6,0,563369,138,573074,88,20221023,174,16,12,2044,1,37,146,Blå blok
Enhedslisten,15972,12478,2785,709,186,386,214,600,156,0,6,10132,841,68,444,39,421,533,121,4,6,0,520365,262,535727,261,20221023,132,23,6,97,3,7,103,Rød blok
Frie Grønne,1343,992,239,112,10,3812,971,4783,93,0,1,880,54,1,41,1,7,8,15,5,4,0,33287,33,36163,33,20221023,90,16,7,762,0,4,66,Rød blok
Konservative,16967,13675,2659,633,505,75056,4062,79118,253,264,17,12060,838,39,389,37,169,143,174,26,9,1,639814,262,673998,168,20221023,98,15,4,2887,1,5,79,Blå blok
Kristendemokraterne,913,658,128,127,41,1066,1220,2286,73,268,0,563,49,2,29,0,12,3,35,1,7,0,65150,42,68632,39,20221023,26,4,4,1066,0,1,19,Blå blok
Liberal Alliance,14998,12900,1448,650,216,80397,12668,93065,1362,0,6,12413,273,15,109,8,70,12,82,13,7,1,404785,498,434593,477,20221023,183,18,8,6184,1,3,157,Blå blok
Løsgænger,73,64,9,0,4,0,0,0,0,0,0,62,1,0,0,0,0,1,1,0,0,0,112464,-7,140610,-12,20221023,73,9,0,0,0,1,64,Andet
Moderaterne,1007,795,110,102,40,3446,1030,4476,0,395,3,712,60,1,6,0,1,15,26,5,0,1,235315,162,237397,175,20221023,39,4,4,689,0,2,31,Blå blok
Nye Borgerlige,28919,23296,2698,2925,138,217437,24145,241582,3016,0,6,20937,1262,33,698,65,256,45,74,14,12,2,632903,327,736462,277,20221023,391,36,40,15531,3,17,315,Blå blok
Radikale Venstre,3012,2632,277,103,255,9829,1398,11227,107,4,3,2341,210,7,48,4,11,11,101,10,6,0,643791,67,669535,61,20221023,30,3,1,983,0,2,26,Rød blok
Socialdemokratiet,58651,50582,6833,1236,577,52619,6208,58827,1895,345,19,43950,4392,45,1200,35,353,607,239,32,19,1,1622769,313,1736308,281,20221023,245,29,5,1644,1,18,212,Rød blok
Socialistisk Folkeparti,23203,19252,2915,1036,346,39895,1752,41647,949,0,0,13756,2005,49,2969,94,84,295,106,5,7,2,701608,857,720763,846,20221023,219,28,10,7979,1,19,182,Rød blok
Venstre,15931,13364,1904,663,617,93975,8538,102513,429,0,9,12103,298,29,657,27,204,46,187,26,12,2,949803,380,995001,395,20221023,85,10,4,3614,1,2,71,Blå blok
Alternativet,9732,7899,1205,628,164,25825,3908,29733,84,0,9,6234,1109,9,424,10,44,69,125,11,8,1,258747,236,264626,240,20221024,78,10,5,2348,0,9,63,Rød blok
Andet,786,667,58,61,115,540,0,540,7,0,6,565,86,0,3,0,2,11,13,2,1,0,195963,46,205699,38,20221024,60,4,5,270,0,7,51,Andet
Danmarksdemokraterne,14601,11808,1888,905,34,5892,1944,7836,159,0,14,11271,191,51,71,22,182,20,59,6,3,0,304115,267,322502,278,20221024,247,32,15,982,3,3,200,Blå blok
Dansk Folkeparti,11504,8897,1253,1354,157,69103,13507,82610,31,0,2,8204,488,15,63,21,60,46,65,9,2,0,563481,112,573182,108,20221024,177,19,21,7678,1,8,137,Blå blok
Enhedslisten,19999,16682,2152,1165,186,112199,7442,119641,99,0,2,13645,2624,55,177,14,77,90,112,9,7,2,520817,452,536184,457,20221024,179,19,10,12467,1,23,149,Rød blok
Frie Grønne,3865,2387,1282,196,10,22031,2461,24492,56,0,1,1487,83,12,633,0,161,11,12,3,2,0,33313,26,36188,25,20221024,322,107,16,7344,13,7,199,Rød blok
Konservative,17252,14154,2410,688,505,124247,3878,128125,307,272,10,12300,703,98,572,94,169,218,201,29,13,0,640097,283,674280,282,20221024,86,12,3,4284,1,3,70,Blå blok
Kristendemokraterne,1095,846,164,85,41,11706,1338,13044,17,104,6,815,10,0,18,1,2,0,48,8,1,0,65187,37,68666,34,20221024,23,3,2,1463,0,0,18,Blå blok
Liberal Alliance,20357,17914,1503,940,216,80043,13364,93407,4841,0,3,16110,973,22,660,6,68,75,87,9,10,0,405373,588,435188,595,20221024,234,17,11,8894,1,11,206,Blå blok
Løsgænger,1212,954,216,42,4,0,0,0,0,0,0,855,8,6,5,41,39,0,2,0,0,0,112469,5,140611,1,20221024,606,108,21,0,20,4,477,Andet
Moderaterne,4455,3222,1065,168,40,3357,1153,4510,133,90,5,1917,96,17,897,17,270,8,35,8,2,0,235452,137,237537,140,20221024,127,30,5,420,8,3,92,Blå blok
Nye Borgerlige,40193,33084,4105,3004,138,50420,22659,73079,1324,0,12,30504,938,86,1190,44,263,59,104,11,12,0,633092,189,736588,126,20221024,386,39,29,4584,3,9,318,Blå blok
Radikale Venstre,11234,8885,1874,475,255,14829,2787,17616,1357,2,2,7077,682,27,609,28,258,204,139,13,5,1,643907,116,669641,106,20221024,81,13,3,1141,2,5,64,Rød blok
Socialdemokratiet,47252,38918,6016,2318,577,70481,14987,85468,1097,0,28,35049,1867,72,1402,63,281,184,299,37,15,3,1623007,238,1736557,249,20221024,158,20,8,1905,1,6,130,Rød blok
Socialistisk Folkeparti,37673,31317,4490,1866,346,41861,1220,43081,754,0,2,25603,4428,46,495,93,301,351,123,8,10,2,702260,652,721420,657,20221024,306,37,15,5233,2,36,255,Rød blok
Venstre,20697,17585,2255,857,617,110710,5102,115812,631,0,8,16046,548,32,653,40,207,59,215,19,16,1,950185,382,995381,380,20221024,96,10,4,5827,1,3,82,Blå blok
Alternativet,6596,5418,659,519,164,4137,1014,5151,105,9,13,4452,703,5,153,7,82,16,145,9,13,7,258979,232,264863,237,20221026,45,5,4,460,1,5,37,Rød blok
Andet,1262,929,235,98,115,25854,257,26111,16,2189,0,797,70,6,20,4,26,6,33,2,2,0,196000,37,205732,33,20221026,38,7,3,12927,1,2,28,Andet
Danmarksdemokraterne,23664,17836,3685,2143,34,23998,281,24279,60,0,2,15479,1040,19,212,48,405,633,69,6,1,2,304429,314,322838,336,20221026,343,53,31,4000,6,15,258,Blå blok
Dansk Folkeparti,17356,13414,1918,2024,157,140564,12591,153155,3137,0,19,11292,959,18,528,14,68,535,83,13,8,0,563631,150,573336,154,20221026,209,23,24,10813,1,12,162,Blå blok
Enhedslisten,20562,17237,2452,873,186,20854,3163,24017,1828,344,2,14341,2035,36,442,82,141,160,149,13,18,2,521195,378,536565,381,20221026,138,16,6,1604,1,14,116,Rød blok
Frie Grønne,2751,2007,631,113,10,79803,1663,81466,50,0,2,1352,142,3,430,6,61,13,10,4,1,0,33356,43,36225,37,20221026,275,63,11,19951,6,14,201,Rød blok
Konservative,44366,32033,6121,6212,505,385513,8706,394219,634,23,52,27938,2278,56,800,57,357,547,284,31,29,1,640479,382,674635,355,20221026,156,22,22,12436,1,8,113,Blå blok
Kristendemokraterne,1632,1206,263,163,41,1151,565,1716,2,0,1,1085,41,3,58,1,11,7,43,5,1,0,65203,16,68685,19,20221026,38,6,4,230,0,1,28,Blå blok
Liberal Alliance,17552,15012,1574,966,216,101998,20912,122910,350,0,14,14137,423,130,206,31,71,14,91,5,7,1,406041,668,435845,657,20221026,193,17,11,20400,1,5,165,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112474,5,140605,-6,20221026,0,0,0,0,0,0,0,Andet
Moderaterne,3290,2463,700,127,40,2366,1431,3797,95,0,2,2310,57,4,49,6,32,5,26,5,2,0,235592,140,237670,133,20221026,127,27,5,473,1,2,95,Blå blok
Nye Borgerlige,22821,18082,2672,2067,138,95241,27899,123140,252,0,7,17078,331,108,200,46,285,34,89,7,3,2,633423,331,736867,279,20221026,256,30,23,13606,3,4,203,Blå blok
Radikale Venstre,7746,6685,826,235,255,29409,2578,31987,1765,0,14,5714,662,7,126,19,63,94,102,9,6,2,644009,102,669731,90,20221026,76,8,2,3268,1,6,66,Rød blok
Socialdemokratiet,43022,34849,6487,1686,577,162652,5764,168416,2865,0,26,30501,1978,78,1504,37,399,352,288,31,16,0,1623401,394,1736851,294,20221026,149,23,6,5247,1,7,121,Rød blok
Socialistisk Folkeparti,36970,31240,3985,1745,346,94764,2157,96921,144,0,1,25886,3769,49,453,54,155,874,134,10,5,0,702961,701,722102,682,20221026,276,30,13,9476,1,28,233,Rød blok
Venstre,22845,18075,3923,847,617,124575,4063,128638,899,81,6,15632,336,77,1452,44,467,67,247,23,22,2,950517,332,995723,342,20221026,92,16,3,5416,2,1,73,Blå blok
Alternativet,14456,11769,1540,1147,164,2823,782,3605,75,20,20,9293,2013,23,345,12,40,43,170,8,9,7,259228,249,265105,242,20221026,85,9,7,353,0,12,69,Rød blok
Andet,511,336,33,142,115,475,235,710,18,24,0,320,3,0,4,0,5,4,30,3,4,0,196041,41,205762,30,20221026,17,1,5,158,0,0,11,Andet
Danmarksdemokraterne,7539,6411,735,393,34,17461,6402,23863,276,0,1,6056,161,10,138,8,28,10,68,9,5,0,304653,224,323080,242,20221026,111,11,6,1940,0,2,94,Blå blok
Dansk Folkeparti,9047,6889,1171,987,157,51942,4549,56491,95,0,13,6204,390,17,127,27,71,53,87,6,1,0,563826,195,573525,189,20221026,104,13,11,8657,1,4,79,Blå blok
Enhedslisten,14002,11711,1574,717,186,11699,2131,13830,254,0,7,9488,1580,39,358,17,122,107,142,11,12,0,521427,232,536778,213,20221026,99,11,5,1064,1,11,82,Rød blok
Frie Grønne,2441,1956,335,150,10,6032,451,6483,57,0,0,1669,213,1,59,5,2,7,21,3,3,0,33405,49,36273,48,20221026,116,16,7,2011,0,10,93,Rød blok
Konservative,22780,19053,2949,778,505,78070,2207,80277,472,76,20,15891,1313,69,941,39,229,571,273,33,20,2,641197,718,675327,692,20221026,83,11,3,2366,1,5,70,Blå blok
Kristendemokraterne,1244,972,155,117,41,5544,1230,6774,109,27,12,842,35,2,47,1,39,6,60,10,5,0,65232,29,68716,31,20221026,21,3,2,554,1,1,16,Blå blok
Liberal Alliance,14871,13067,958,846,216,79450,20243,99693,341,0,7,12253,355,14,352,7,68,18,87,12,11,0,406696,655,436503,658,20221026,171,11,10,6621,1,4,150,Blå blok
Løsgænger,1935,1608,223,104,4,0,0,0,0,0,0,1255,65,1,6,137,5,139,3,0,0,0,112469,-5,140588,-17,20221026,645,74,35,0,2,22,536,Andet
Moderaterne,4193,2906,1115,172,40,7122,700,7822,123,7,5,2617,76,4,152,6,46,5,36,6,2,0,235723,131,237807,137,20221026,116,31,5,1187,1,2,81,Blå blok
Nye Borgerlige,32133,25865,3316,2952,138,15489,4653,20142,805,0,8,21147,460,49,3755,57,361,36,100,5,11,4,633800,377,737212,345,20221026,321,33,30,3098,4,5,259,Blå blok
Radikale Venstre,7697,6364,1036,297,255,19048,1800,20848,1516,0,9,4922,638,11,361,116,125,191,122,13,10,0,644136,127,669853,122,20221026,63,8,2,1465,1,5,52,Rød blok
Socialdemokratiet,48764,38207,8492,2065,577,104473,14806,119279,4640,4735,17,32390,2175,64,2348,85,864,281,354,32,20,1,1623808,407,1737219,368,20221026,138,24,6,3265,2,6,108,Rød blok
Socialistisk Folkeparti,48840,40432,5718,2690,346,196001,1562,197563,71,0,1,32851,5205,113,1145,34,196,888,129,13,4,0,703692,731,722823,721,20221026,379,44,21,15077,2,40,313,Rød blok
Venstre,21302,17520,2600,1182,617,221285,10817,232102,358,0,19,15995,343,32,913,12,203,22,221,28,20,3,950924,407,996103,380,20221026,96,12,5,7903,1,2,79,Blå blok
Alternativet,8011,6476,944,591,164,16157,1035,17192,109,31,5,4994,893,122,129,58,160,120,116,13,10,0,259430,202,265329,224,20221027,69,8,5,1243,1,8,56,Rød blok
Andet,349,297,26,26,115,240,0,240,85,4,0,267,23,0,0,1,1,5,30,2,2,1,196057,16,205780,18,20221027,12,1,1,120,0,1,10,Andet
Danmarksdemokraterne,15219,12066,2186,967,34,1488,531,2019,56,0,0,10982,729,17,188,10,87,53,81,3,1,1,304819,166,323266,186,20221027,188,27,12,496,1,9,149,Blå blok
Dansk Folkeparti,20907,16306,2869,1732,157,49805,2050,51855,1020,0,3,15069,800,19,210,41,114,53,102,5,9,0,563968,142,573650,125,20221027,205,28,17,9961,1,8,160,Blå blok
Enhedslisten,13887,11477,1731,679,186,15406,1384,16790,265,1,4,9943,1000,16,282,21,113,102,162,10,12,3,521540,113,536974,196,20221027,86,11,4,1541,1,6,71,Rød blok
Frie Grønne,1976,1467,407,102,10,3192,164,3356,0,0,1,1219,116,4,52,24,43,9,12,5,0,0,33446,41,36311,38,20221027,165,34,9,638,4,10,122,Rød blok
Konservative,22092,18422,2734,936,505,72310,2697,75007,285,249,20,15655,1594,22,552,87,243,269,228,38,13,2,641516,319,675639,312,20221027,97,12,4,1903,1,7,81,Blå blok
Kristendemokraterne,1513,1233,175,105,41,606,126,732,93,0,3,1117,27,4,54,2,27,2,66,4,5,0,65284,52,68765,49,20221027,23,3,2,152,0,0,19,Blå blok
Liberal Alliance,12090,10420,1198,472,216,52208,4805,57013,208,0,13,8981,420,40,892,7,69,11,97,10,10,2,407347,651,437138,635,20221027,125,12,5,5221,1,4,107,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112463,-6,140571,-17,20221027,0,0,0,0,0,0,0,Andet
Moderaterne,8827,5628,2247,952,40,101467,37692,139159,3332,0,20,5201,123,20,154,12,105,13,48,4,8,2,235906,183,237990,183,20221027,184,47,20,25367,2,3,117,Blå blok
Nye Borgerlige,22521,19116,1964,1441,138,63393,6223,69616,355,0,13,17738,778,15,331,10,161,83,97,16,10,0,634044,244,737423,211,20221027,232,20,15,3962,2,8,197,Blå blok
Radikale Venstre,8372,6860,1106,406,255,18401,947,19348,99,45,7,5736,438,36,454,65,78,53,143,15,8,2,644211,75,669923,70,20221027,59,8,3,1227,1,3,48,Rød blok
Socialdemokratiet,47715,38067,6995,2653,577,200957,9197,210154,1094,0,26,33293,1778,210,1419,130,931,306,337,32,28,1,1624170,362,1737582,363,20221027,142,21,8,6280,3,5,113,Rød blok
Socialistisk Folkeparti,45761,38929,4746,2086,346,23188,833,24021,298,0,2,35279,2661,63,374,77,231,244,172,12,7,0,704279,587,723435,612,20221027,266,28,12,1932,1,15,226,Rød blok
Venstre,19714,15253,3066,1395,617,134830,6805,141635,892,0,12,13456,277,44,1116,31,293,36,244,29,18,1,951272,348,996404,301,20221027,81,13,6,4649,1,1,63,Blå blok
