Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Socialistisk Folkeparti,40456,34920,4273,1263,346,309501,7341,316842,133,199,2,29291,4444,36,624,32,100,393,154,18,7,1,692278,317,711676,357,20221005,263,28,8,17195,1,29,227,Rød blok
Venstre,38313,32123,5202,988,617,47114,9255,56369,3402,1207,8,29662,886,31,1110,44,292,98,283,27,15,3,941255,123,986641,122,20221005,135,18,3,1745,1,3,114,Blå blok
Alternativet,3323,2710,363,250,164,24688,2749,27437,46,0,2,2028,432,2,202,4,9,33,53,5,2,0,255790,114,261704,127,20221006,63,7,5,4938,0,8,51,Rød blok
Andet,360,278,62,20,115,0,0,0,176,0,0,264,7,0,3,2,1,1,20,0,1,2,195567,25,205452,21,20221006,18,3,1,0,0,0,14,Andet
Danmarksdemokraterne,9495,7414,1718,363,34,2166,112,2278,109,0,0,6662,160,128,85,20,342,17,36,2,2,0,299121,389,317328,438,20221006,264,48,10,1083,10,4,206,Blå blok
Dansk Folkeparti,9005,5762,1427,1816,157,45406,23231,68637,87,0,1,4564,444,55,100,16,547,36,56,4,6,0,560770,173,570570,198,20221006,161,25,32,11352,10,8,103,Blå blok
Enhedslisten,12702,10134,2087,481,186,47880,3349,51229,1030,200,4,7263,644,381,1420,36,193,197,121,12,17,2,516909,140,532461,181,20221006,105,17,4,3990,2,5,84,Rød blok
Frie Grønne,4443,2857,1366,220,10,22745,5542,28287,81,0,1,1875,208,6,539,4,206,19,20,4,3,0,32539,86,35426,94,20221006,222,68,11,5686,10,10,143,Rød blok
Konservative,34182,26449,6867,866,505,68339,1645,69984,195,0,9,23008,1243,95,1032,99,297,675,164,14,11,0,633919,394,668296,398,20221006,208,42,5,4881,2,8,161,Blå blok
Kristendemokraterne,626,456,85,85,41,5335,1655,6990,149,101,13,413,36,0,3,0,4,0,22,5,6,0,64317,180,67810,181,20221006,28,4,4,1067,0,2,21,Blå blok
Liberal Alliance,29351,25170,2592,1589,216,610495,40570,651065,1044,0,12,22521,1440,25,1022,25,101,36,67,6,23,0,391674,829,421569,871,20221006,438,39,24,101749,2,21,376,Blå blok
Løsgænger,1093,971,87,35,4,0,0,0,0,0,0,862,98,0,2,0,0,9,2,0,0,0,112522,1,140761,-2,20221006,547,44,18,0,0,49,486,Andet
Moderaterne,1973,1557,342,74,40,20325,2114,22439,120,258,3,1465,44,2,26,1,16,3,33,9,2,0,231420,257,233378,271,20221006,60,10,2,2258,0,1,47,Blå blok
Nye Borgerlige,33427,28923,2923,1581,138,21070,5238,26308,106,0,6,27443,739,332,147,52,110,100,77,6,3,0,627384,353,731583,395,20221006,434,38,21,3512,1,10,376,Blå blok
Radikale Venstre,5252,4269,848,135,255,62224,1677,63901,335,0,7,3380,383,11,316,16,132,31,86,9,7,1,642072,99,668033,79,20221006,61,10,2,6914,2,4,50,Rød blok
Socialdemokratiet,58233,45006,11367,1860,577,227895,29142,257037,1036,0,14,38261,2692,100,2774,110,629,440,204,22,11,0,1614926,509,1729121,481,20221006,285,56,9,10359,3,13,221,Rød blok
Socialistisk Folkeparti,18217,14822,2694,701,346,77122,11300,88422,48,0,3,12780,1470,49,244,49,53,177,91,11,5,1,692574,296,711982,306,20221006,200,30,8,7011,1,16,163,Rød blok
Venstre,24128,17957,5370,801,617,129240,12727,141967,275,0,11,15660,683,50,1158,64,252,90,159,15,9,2,941857,602,987264,623,20221006,152,34,5,8616,2,4,113,Blå blok
Alternativet,6781,5596,798,387,164,13028,4766,17794,593,0,2,4619,817,14,105,3,13,25,79,7,10,0,255879,89,261781,77,20221007,86,10,5,1861,0,10,71,Rød blok
Andet,814,764,34,16,115,422,133,555,0,0,0,657,86,0,4,0,0,17,22,1,0,0,195588,21,205400,-52,20221007,37,2,1,422,0,4,35,Andet
Danmarksdemokraterne,14424,9644,3579,1201,34,19068,4061,23129,525,0,9,7763,257,50,204,30,1307,33,45,8,3,1,299435,313,317724,357,20221007,321,80,27,2384,29,6,214,Blå blok
Dansk Folkeparti,24896,18767,3173,2956,157,210524,22906,233430,1519,0,10,16141,1955,26,188,49,91,317,79,5,13,0,560975,205,570787,217,20221007,315,40,37,42105,1,25,238,Blå blok
Enhedslisten,19131,14568,3406,1157,186,8553,4154,12707,1137,0,6,11400,1270,50,1402,29,319,98,117,8,15,0,517090,181,532654,193,20221007,164,29,10,1069,3,11,125,Rød blok
Frie Grønne,2344,1615,513,216,10,9744,2320,12064,114,0,0,1404,130,3,50,4,19,5,10,3,1,0,32590,51,35480,54,20221007,234,51,22,3248,2,13,162,Rød blok
Konservative,34865,24625,8113,2127,505,372339,35796,408135,801,0,27,20185,852,110,2744,52,591,91,175,25,8,1,634287,368,668688,392,20221007,199,46,12,14894,3,5,141,Blå blok
Kristendemokraterne,450,348,45,57,41,1870,1068,2938,111,0,12,319,10,0,14,1,3,1,25,6,5,0,64421,104,67918,108,20221007,18,2,2,312,0,0,14,Blå blok
Liberal Alliance,32136,28808,2483,845,216,170939,7355,178294,656,0,4,26786,1516,28,294,32,125,27,88,5,16,2,392838,1164,422740,1171,20221007,365,28,10,34188,1,17,327,Blå blok
Løsgænger,1803,1450,125,228,4,0,0,0,0,0,0,1075,53,0,0,99,2,221,1,0,0,0,112520,-2,140760,-1,20221007,1803,125,228,0,2,53,1450,Andet
