Sidenavn;Codename;URL;Total Interactions;Likes;Comments;Shares;Owned Post Views;Owned Views from Shares;Owned Total Views;Percentage Views from Owned Posts;Views on Shared Posts;Views While Live;Video Time;3-Min+ Videos;Loves;Wows;Hahas;Sads;Angrys;Cares;All Reactions;All Interaction Rate;Total Posts;Posts Per Day;Page Likes;Page Growth;Page Growth %;Page Followers;Page Follower Growth;Page Follower Growth %;Parti;Link;Politiker eller Partiside;Køn;Profil eller side;Kategori;Partileder;FTV kandidat;Month;Måned;Totale interaktioner per post;Kommentarer per post;Delinger per post;Videovisninger per videoopslag;Angry per post;Love per post;Reaktioner per post;Blok
Pernille Skipper;pernille.skipper.5;https://www.facebook.com/547840621916967;33688;22957;5367;1629;48521;22549;71070;68%;0;0;2;0;2487;93;213;247;695;0;26692;2,14%;25;1;63029;153;0,24%;65999;211;0,32%;Enhedslisten;https://www,facebook,com/547840621916967;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;1348;215;65;24261;28;99;1068;Rød blok
Rune Lund;runelund.dk;https://www.facebook.com/920392628013629;644;410;25;116;0;0;0;0,00%;0;0;0;0;33;13;0;1;46;0;503;4,41%;9;0;1623;29;1,82%;1687;32;2%;Enhedslisten;https://www,facebook,com/920392628013629;Politiker;Mand;Side;MF'ere;;;20190915;201909;72;3;13;0;5;4;56;Rød blok
Søren Egge Rasmussen;;https://www.facebook.com/947582238609972;614;411;21;83;0;0;0;0%;0;0;0;0;17;9;1;14;58;0;510;2,30%;13;0;2054;14;0,69%;2053;10;0,49%;Enhedslisten;https://www,facebook,com/947582238609972;Politiker;Mand;Side;MF'ere;;;20190915;201909;47;2;6;0;4;1;39;Rød blok
Christian Juhl;Chr.Juhl1;https://www.facebook.com/966292950121363;3776;2638;302;267;0;0;0;0%;969;0;0;0;128;39;54;125;223;0;3207;1,52%;48;2;5131;3;0,06%;5167;6;0%;Enhedslisten;https://www,facebook,com/966292950121363;Politiker;Mand;Side;MF'ere;;;20190915;201909;79;6;6;0;5;3;67;Rød blok
Det Konservative Folkeparti;Konservative;https://www.facebook.com/39233495912;11886;8824;1480;624;54505;22441;76946;71%;0;1167;4;0;616;27;154;9;152;0;9782;1,66%;19;1;37734;134;0,36%;37325;168;0,45%;Konservative;https://www,facebook,com/39233495912;Partiside;Partiside;Side;Nationalt parti;;;20190915;201909;626;78;33;18168;8;32;515;Blå blok
Per Larsen;stemperlarsen;https://www.facebook.com/129802704387687;696;545;101;13;507;68;575;88%;0;0;1;0;16;2;0;10;9;0;582;4,89%;10;0;1416;8;0,57%;1443;10;1%;Konservative;https://www,facebook,com/129802704387687;Politiker;Mand;Side;MF'ere;;;20190915;201909;70;10;1;254;1;2;58;Blå blok
Rasmus Jarlov;jarlov;https://www.facebook.com/162843287205735;86;69;7;5;0;0;0;0,00%;0;0;0;0;0;3;0;0;2;0;74;0,96%;1;0;9035;81;0,90%;9212;93;1,02%;Konservative;https://www,facebook,com/162843287205735;Politiker;Mand;Side;MF'ere;;;20190915;201909;86;7;5;0;2;0;74;Blå blok
Niels Flemming Hansen;nielsflemminghansen;https://www.facebook.com/177609692660255;471;430;30;6;0;0;0;0%;0;0;0;0;3;2;0;0;0;0;435;4,85%;7;0;1395;28;2,05%;1416;29;2,09%;Konservative;https://www,facebook,com/177609692660255;Politiker;Mand;Side;MF'ere;;;20190915;201909;67;4;1;0;0;0;62;Blå blok
Brigitte Klintskov Jerkel Politiker;BrigitteKlintskovJerkel;https://www.facebook.com/229347797233832;972;859;48;9;0;0;0;0%;0;0;0;0;50;4;2;0;0;0;915;2,63%;6;0;6169;-2;0%;6097;-2;0%;Konservative;https://www,facebook,com/229347797233832;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;162;8;2;0;0;8;153;Blå blok
Mette Abildgaard;abildgaard.mette;https://www.facebook.com/309867232515766;3430;2790;235;9;3230;14;3244;100%;0;0;0;0;312;4;79;0;1;0;3186;3,84%;6;0;14844;-33;-0,22%;14837;-29;-0,20%;Konservative;https://www,facebook,com/309867232515766;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;572;39;2;3230;0;52;531;Blå blok
Birgitte Bergman;BirgitteBergmanPolitiker;https://www.facebook.com/314962322593667;264;235;16;7;0;0;0;0%;0;0;0;0;6;0;0;0;0;0;241;5,30%;9;0;551;8;1%;578;8;1%;Konservative;https://www,facebook,com/314962322593667;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;29;2;1;0;0;1;27;Blå blok
Orla Østerby i Folketinget;OrlaOsterbyIFolketinget;https://www.facebook.com/380183085486892;55;51;2;1;0;0;0;0,00%;0;0;0;0;0;0;0;1;0;0;52;5,75%;1;0;958;2;0,21%;973;3;0,31%;Konservative;https://www,facebook,com/380183085486892;Politiker;Mand;Side;MF'ere;;;20190915;201909;55;2;1;0;0;0;52;Blå blok
Mai Mercado;maimercado.dk;https://www.facebook.com/397094903687472;635;495;90;13;0;0;0;0%;0;0;0;0;17;0;20;0;0;0;532;0,89%;4;0;17770;-17;-0,10%;17733;-12;-0,07%;Konservative;https://www,facebook,com/397094903687472;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;159;23;3;0;0;4;133;Blå blok
Egil F. Hulgaard - Politik;egilfh;https://www.facebook.com/566443056754736;81;63;16;0;0;0;0;0%;0;0;0;0;2;0;0;0;0;0;65;9,83%;4;0;205;3;1%;202;3;2%;Konservative;https://www,facebook,com/566443056754736;Politiker;Mand;Side;MF'ere;;;20190915;201909;20;4;0;0;0;1;16;Blå blok
Søren Pape Poulsen;SorenPapePoulsen;https://www.facebook.com/952334508116178;15304;11167;2330;674;9130;5834;14964;61%;3243;3242;2;0;654;42;59;226;152;0;12300;2,58%;13;0;45794;185;0,41%;45296;213;0,47%;Konservative;https://www,facebook,com/952334508116178;Politiker;Mand;Side;MF'ere;Partileder;;20190915;201909;1177;179;52;9130;12;50;946;Blå blok
Katarina Ammitzbøll;KatarinaAmmitzboll;https://www.facebook.com/1541220236121470;500;444;23;5;0;0;0;0%;324;0;0;0;24;3;1;0;0;0;472;4,63%;8;0;1349;19;1,43%;1370;20;1,48%;Konservative;https://www,facebook,com/1541220236121470;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;63;3;1;0;0;3;59;Blå blok
Naser Khader;NaserKhaderDanmark;https://www.facebook.com/1995019340791443;11455;7566;1123;470;0;0;0;0%;0;0;0;0;265;126;591;242;1072;0;9862;8,39%;14;0;9793;88;0,91%;41827;-30;-0,07%;Konservative;https://www,facebook,com/1995019340791443;Politiker;Mand;Side;MF'ere;;;20190915;201909;818;80;34;0;77;19;704;Blå blok
Pernille Weiss;pernilleweiss;https://www.facebook.com/2071183673144991;3703;3057;325;90;3087;1453;4540;68%;218;0;2;0;118;26;39;0;48;0;3288;2,36%;34;1;4574;13;0%;4781;25;1%;Konservative;https://www,facebook,com/2071183673144991;Politiker;Kvinde;Side;MEP'ere;;;20190915;201909;109;10;3;1029;1;3;97;Blå blok
Mona Juul;JuulMona;https://www.facebook.com/2079067062409423;1861;1631;102;18;0;0;0;0%;0;0;0;0;89;1;19;1;0;0;1741;5,29%;22;1;1599;20;1%;1641;25;2%;Konservative;https://www,facebook,com/2079067062409423;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;85;5;1;0;0;4;79;Blå blok
Kristendemokraterne;kristendemokraterneDK;https://www.facebook.com/180658048629404;753;532;36;162;0;0;0;0%;1184;0;0;0;22;1;0;0;0;0;555;1,03%;11;0;6622;23;0%;6674;29;0%;Kristendemokraterne;https://www,facebook,com/180658048629404;Partiside;Partiside;Side;Nationalt parti;;;20190915;201909;68;3;15;0;0;2;50;Blå blok
Liberal Alliance;LiberalAlliance;https://www.facebook.com/106952222676974;45563;28559;8442;4072;469867;391196;861063;55%;51602;0;8;1;1259;409;1149;411;1261;1;33049;2,19%;22;1;94925;506;0,54%;93045;665;0,72%;Liberal Alliance;https://www,facebook,com/106952222676974;Partiside;Partiside;Side;Nationalt parti;;;20190915;201909;2071;384;185;58733;57;57;1502;Blå blok
Ole Birk Olesen;olebirkolesenLA;https://www.facebook.com/538656116640182;9961;6936;1516;368;0;0;0;0%;26507;0;0;0;262;105;555;72;147;0;8077;8,54%;20;1;5934;199;3%;14811;177;1%;Liberal Alliance;https://www,facebook,com/538656116640182;Politiker;Mand;Side;MF'ere;;;20190915;201909;498;76;18;0;7;13;404;Blå blok
Alex Vanopslagh;AlexLiberalAlliance;https://www.facebook.com/671022293105597;38558;25086;6693;3358;142503;131477;273980;52%;0;0;3;1;1279;355;564;268;952;3;28507;15,63%;13;0;21970;5985;37%;23616;6540;38%;Liberal Alliance;https://www,facebook,com/671022293105597;Politiker;Mand;Side;MF'ere;Partileder;;20190915;201909;2966;515;258;71252;73;98;2193;Blå blok
Lars Boje Mathiesen;LBMathiesen;https://www.facebook.com/398454550257699;7087;4277;785;642;21918;21918;43836;50%;2172;0;15;0;216;159;405;102;501;0;5660;3,90%;26;1;6992;48;1%;7241;57;1%;Nye Borgerlige;https://www,facebook,com/398454550257699;Politiker;Mand;Side;MF'ere;;;20190915;201909;273;30;25;2192;19;8;218;Blå blok
Nye Borgerlige;nyeborgerlige;https://www.facebook.com/646746285466931;38472;27443;5104;2684;17479;10319;27798;63%;0;0;4;0;1790;89;673;92;596;1;30684;5,17%;24;1;31288;562;2%;32521;594;2%;Nye Borgerlige;https://www,facebook,com/646746285466931;Partiside;Partiside;Side;Nationalt parti;;;20190915;201909;1603;213;112;5826;25;75;1279;Blå blok
Mette Thiesen;mette.thiesen;https://www.facebook.com/718327901589937;44134;28819;6442;3408;52875;55126;108001;49%;0;0;1;0;2877;144;236;295;1913;0;34284;9,82%;20;1;23082;1255;5,75%;24497;1357;6%;Nye Borgerlige;https://www,facebook,com/718327901589937;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;2207;322;170;26438;96;144;1714;Blå blok
Peter Seier Christensen;peterseierchristensen;https://www.facebook.com/1104790642968068;4290;3193;440;336;0;0;0;0%;0;0;0;0;176;15;69;19;42;0;3514;3,66%;5;0;23470;28;0,12%;23775;34;0%;Nye Borgerlige;https://www,facebook,com/1104790642968068;Politiker;Mand;Side;MF'ere;;;20190915;201909;858;88;67;0;8;35;703;Blå blok
Radikale Venstre;radikalevenstre;https://www.facebook.com/12458150929;9527;5744;2034;394;83838;37845;121683;69%;7461;2264;4;0;639;46;235;35;400;0;7099;0,81%;25;1;47139;88;0,19%;47422;114;0%;Radikale Venstre;https://www,facebook,com/12458150929;Partiside;Partiside;Side;Nationalt parti;;;20190915;201909;381;81;16;6449;16;26;284;Rød blok
Ida Auken;ida.auken;https://www.facebook.com/24352982198;1075;825;163;12;8327;29;8356;100%;0;0;0;0;67;0;8;0;0;0;900;1,37%;2;0;39339;98;0,25%;39665;93;0%;Radikale Venstre;https://www,facebook,com/24352982198;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;538;82;6;8327;0;34;450;Rød blok
Ruben Kidde;stem.ruben.kidde;https://www.facebook.com/113588132144811;136;120;5;1;0;0;0;0%;0;0;0;0;10;0;0;0;0;0;130;0,98%;6;0;2240;3;0,13%;2269;3;0%;Radikale Venstre;https://www,facebook,com/113588132144811;Politiker;Mand;Side;MF'ere;;;20190915;201909;23;1;0;0;0;2;22;Rød blok
Zenia Stampe;zeniastampe;https://www.facebook.com/127344360615074;28048;19817;4021;851;0;0;0;0%;30720;0;0;0;2108;178;396;176;501;0;23176;1,50%;18;1;103528;-199;-0,19%;102701;-153;0%;Radikale Venstre;https://www,facebook,com/127344360615074;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;1558;223;47;0;28;117;1288;Rød blok
Andreas Steenberg;andreas.steenberg.radikale;https://www.facebook.com/132364993978468;12675;7612;1452;1980;21858;70415;92273;24%;2622;0;4;0;896;60;19;350;306;0;9243;5,50%;19;1;12368;487;4,10%;12691;489;4%;Radikale Venstre;https://www,facebook,com/132364993978468;Politiker;Mand;Side;MF'ere;;;20190915;201909;667;76;104;7286;16;47;486;Rød blok
Sofie Carsten Nielsen;sofiecarstennielsen;https://www.facebook.com/148900938515423;8103;5726;1268;197;2725;54;2779;98%;5751;0;2;0;583;46;116;27;140;0;6638;1,91%;20;1;21244;100;0,47%;21497;107;1%;Radikale Venstre;https://www,facebook,com/148900938515423;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;405;63;10;2725;7;29;332;Rød blok
Anne Sophie Callesen;annesophiecallesen;https://www.facebook.com/190273501371925;460;414;22;6;383;61;444;86%;0;0;1;0;18;0;0;0;0;0;432;3,73%;13;0;945;15;1,61%;959;17;2%;Radikale Venstre;https://www,facebook,com/190273501371925;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;35;2;0;383;0;1;33;Rød blok
Marianne Jelved;jelved;https://www.facebook.com/237911156252621;653;548;30;19;1711;567;2278;75%;0;0;0;0;55;0;1;0;0;0;604;1,22%;5;0;10678;79;0,75%;10776;76;1%;Radikale Venstre;https://www,facebook,com/237911156252621;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;131;6;4;1711;0;11;121;Rød blok
Morten Østergaard;oestergaard;https://www.facebook.com/252520351444054;44070;27298;10511;981;173358;31011;204369;85%;29212;8880;6;0;3088;94;867;98;1133;0;32578;1,83%;38;1;63459;97;0,15%;68897;157;0%;Radikale Venstre;https://www,facebook,com/252520351444054;Politiker;Mand;Side;MF'ere;;;20190915;201909;1160;277;26;13335;30;81;857;Rød blok
Lotte Rod;lotterod;https://www.facebook.com/276817062372351;1683;1057;348;2;0;0;0;0%;0;0;0;0;248;25;2;1;0;0;1333;9,59%;3;0;5848;2;0,03%;5833;8;0%;Radikale Venstre;https://www,facebook,com/276817062372351;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;561;116;1;0;0;83;444;Rød blok
Kristian Hegaard;KHegaard;https://www.facebook.com/309352049198824;4216;3013;424;52;2948;0;2948;100%;1955;0;0;0;237;84;284;81;41;0;3740;2,40%;19;1;9292;138;2%;9137;162;2%;Radikale Venstre;https://www,facebook,com/309352049198824;Politiker;Mand;Side;MF'ere;;;20190915;201909;222;22;3;2948;2;12;197;Rød blok
Samira Nawa;SAMIRA.NAWA;https://www.facebook.com/348713338478849;2160;1734;149;59;0;0;0;0%;0;0;0;0;210;2;3;0;3;0;1952;1,90%;9;0;12658;83;0,66%;12663;92;1%;Radikale Venstre;https://www,facebook,com/348713338478849;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;240;17;7;0;0;23;217;Rød blok
Martin Lidegaard;martin.lidegaard;https://www.facebook.com/447217575331947;3890;3283;361;71;10656;254;10910;98%;0;0;4;0;129;11;13;6;16;0;3458;0,79%;18;1;27506;-6;-0,02%;28027;5;0%;Radikale Venstre;https://www,facebook,com/447217575331947;Politiker;Mand;Side;MF'ere;;;20190915;201909;216;20;4;2664;1;7;192;Rød blok
Stinus Lindgreen - Radikale Venstre;StinusLindgreenRV;https://www.facebook.com/519677024898789;1233;938;199;19;0;0;0;0%;675;0;0;0;63;1;11;0;2;0;1015;3,09%;19;1;2081;21;1%;2233;25;1%;Radikale Venstre;https://www,facebook,com/519677024898789;Politiker;Mand;Side;MF'ere;;;20190915;201909;65;10;1;0;0;3;53;Rød blok
Jens Rohde;jensrohdedk;https://www.facebook.com/596055947147527;13741;8307;3741;279;8384;2256;10640;79%;0;0;1;0;361;102;731;32;188;0;9721;1,30%;28;1;37572;-31;-0,08%;37887;-2;0%;Radikale Venstre;https://www,facebook,com/596055947147527;Politiker;Mand;Side;MF'ere;;;20190915;201909;491;134;10;8384;7;13;347;Rød blok
Kathrine Olldag;RVolldag;https://www.facebook.com/810476755802044;1421;844;171;105;0;0;0;0%;631;0;0;0;55;40;18;23;165;0;1145;8,85%;17;1;945;15;1,61%;976;18;2%;Radikale Venstre;https://www,facebook,com/810476755802044;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;84;10;6;0;10;3;67;Rød blok
Rasmus Helveg Petersen;rasmus.helveg.petersen;https://www.facebook.com/1377441749244487;110;96;4;6;0;0;0;0%;0;0;0;0;4;0;0;0;0;0;100;3,05%;1;0;3607;-1;-0,03%;3675;-1;0%;Radikale Venstre;https://www,facebook,com/1377441749244487;Politiker;Mand;Side;MF'ere;;;20190915;201909;110;4;6;0;0;4;100;Rød blok
Karen Melchior;KarenMelchiorDK;https://www.facebook.com/1384921248388622;1305;1035;94;27;0;0;0;0%;1274;0;0;0;126;7;2;9;5;0;1184;2,79%;10;0;4678;31;0,67%;4683;34;1%;Radikale Venstre;https://www,facebook,com/1384921248388622;Politiker;Kvinde;Side;MEP'ere;;;20190915;201909;131;9;3;0;1;13;118;Rød blok
Katrine Robsøe;katrinerobsoe;https://www.facebook.com/1791759817712146;684;586;15;4;0;0;0;0%;0;0;0;0;79;0;0;0;0;0;665;4,48%;7;0;2174;20;0,93%;2202;20;1%;Radikale Venstre;https://www,facebook,com/1791759817712146;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;98;2;1;0;0;11;95;Rød blok
Socialdemokratiet;socialdemokratiet;https://www.facebook.com/41459763029;32261;22000;4816;2115;158912;166780;325692;49%;15078;3626;11;1;2401;80;523;33;293;0;25330;1,17%;25;1;110094;224;0,20%;108101;286;0%;Socialdemokratiet;https://www,facebook,com/41459763029;Partiside;Partiside;Side;Nationalt parti;;;20190915;201909;1290;193;85;19864;12;96;1013;Rød blok
Dan Jørgensen;danjorgensen;https://www.facebook.com/46151445835;6468;5101;681;161;0;0;0;0%;25397;0;0;0;343;24;90;21;47;0;5626;0,44%;25;1;58390;28;0,05%;54371;71;0%;Socialdemokratiet;https://www,facebook,com/46151445835;Politiker;Mand;Side;MF'ere;;;20190915;201909;259;27;6;0;2;14;225;Rød blok
Mette Frederiksen;mettefrederiksen.dk;https://www.facebook.com/57497067718;129340;106796;10425;2529;80303;44729;125032;64%;0;0;2;0;7577;483;877;116;537;0;116386;3,66%;35;1;101738;1654;1,65%;104854;2073;2%;Socialdemokratiet;https://www,facebook,com/57497067718;Politiker;Kvinde;Side;MF'ere;Partileder;;20190915;201909;3695;298;72;40152;15;216;3325;Rød blok
Pernille Rosenkrantz-Theil;pernillerosenkrantz;https://www.facebook.com/88419746037;7411;5082;958;122;0;0;0;0%;0;0;0;0;361;41;831;7;9;0;6331;2,34%;8;0;39639;195;0,49%;38424;232;1%;Socialdemokratiet;https://www,facebook,com/88419746037;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;926;120;15;0;1;45;791;Rød blok
Leif Lahn Jensen;LeifLahn;https://www.facebook.com/343938391806;664;531;65;27;0;0;0;0%;0;0;0;0;35;5;1;0;0;0;572;2,06%;8;0;4018;-3;-0,07%;3744;-3;0%;Socialdemokratiet;https://www,facebook,com/343938391806;Politiker;Mand;Side;MF'ere;;;20190915;201909;83;8;3;0;0;4;72;Rød blok
Kaare Dybvad Bek;kaaredybvad;https://www.facebook.com/117286478282546;2860;2308;320;66;0;0;0;0%;0;0;0;0;149;13;0;3;1;0;2474;9,67%;5;0;5967;105;1,79%;6075;118;2%;Socialdemokratiet;https://www,facebook,com/117286478282546;Politiker;Mand;Side;MF'ere;;;20190915;201909;572;64;13;0;0;30;495;Rød blok
Bjarne Laustsen;b.laustsen;https://www.facebook.com/127941830595839;244;215;7;14;0;0;0;0%;0;0;0;0;5;0;2;1;0;0;223;2,29%;5;0;2107;20;0,96%;2082;23;1%;Socialdemokratiet;https://www,facebook,com/127941830595839;Politiker;Mand;Side;MF'ere;;;20190915;201909;49;1;3;0;0;1;45;Rød blok
Mette Gjerskov - Socialdemokratiet;mettegjerskov;https://www.facebook.com/130494840642224;3278;2590;326;65;970;1682;2652;37%;0;0;0;0;135;34;122;3;3;0;2887;0,80%;35;1;11616;123;1,07%;11687;140;1%;Socialdemokratiet;https://www,facebook,com/130494840642224;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;94;9;2;485;0;4;82;Rød blok
Morten Bødskov;mortenbodskov;https://www.facebook.com/131559313586863;95;86;6;0;0;0;0;0%;0;0;0;0;2;0;1;0;0;0;89;0,45%;2;0;10343;-3;-0,03%;10125;-1;0%;Socialdemokratiet;https://www,facebook,com/131559313586863;Politiker;Mand;Side;MF'ere;;;20190915;201909;48;3;0;0;0;1;45;Rød blok
Jeppe Kofod;jeppekofod;https://www.facebook.com/137685999659722;1821;1479;169;48;13134;4860;17994;73%;0;0;5;1;42;13;11;29;30;0;1604;1,20%;6;0;25270;85;0,34%;24777;94;0%;Socialdemokratiet;https://www,facebook,com/137685999659722;Politiker;Mand;Side;MF'ere;;;20190915;201909;304;28;8;4378;5;7;267;Rød blok
Simon Kollerup;simonkollerup;https://www.facebook.com/142316415896803;1289;1124;68;33;0;0;0;0%;3995;0;0;0;58;2;3;0;1;0;1188;2,32%;6;0;9225;37;0,40%;9273;46;1%;Socialdemokratiet;https://www,facebook,com/142316415896803;Politiker;Mand;Side;MF'ere;;;20190915;201909;215;11;6;0;0;10;198;Rød blok
Jens Joel;jensjoel;https://www.facebook.com/143882519070566;2691;2220;229;58;0;0;0;0%;0;0;0;0;159;3;17;1;4;0;2404;2,61%;12;0;8587;3;0,03%;8273;5;0%;Socialdemokratiet;https://www,facebook,com/143882519070566;Politiker;Mand;Side;MF'ere;;;20190915;201909;224;19;5;0;0;13;200;Rød blok
Ane Halsboe-Jørgensen;stemhalsboe;https://www.facebook.com/169938849689771;2208;1779;95;68;4260;21266;25526;17%;0;0;0;0;200;9;57;0;0;0;2045;5,80%;8;0;4840;156;3,33%;4869;171;4%;Socialdemokratiet;https://www,facebook,com/169938849689771;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;276;12;9;4260;0;25;256;Rød blok
Henrik Dam Kristensen;henrikdamkristensen;https://www.facebook.com/216424988426628;870;697;139;9;0;0;0;0%;0;0;0;0;16;1;1;5;2;0;722;10,76%;1;0;8090;9;0,11%;8015;11;0%;Socialdemokratiet;https://www,facebook,com/216424988426628;Politiker;Mand;Side;MF'ere;;;20190915;201909;870;139;9;0;2;16;722;Rød blok
Kasper Sand Kjær;KasperSandK;https://www.facebook.com/223099558291164;2199;1805;163;66;0;0;0;0%;0;0;0;0;140;12;8;0;5;0;1970;4,26%;15;1;3449;49;1,44%;3607;45;1%;Socialdemokratiet;https://www,facebook,com/223099558291164;Politiker;Mand;Side;MF'ere;;;20190915;201909;147;11;4;0;0;9;131;Rød blok
Mogens Jensen;mogensjensen;https://www.facebook.com/229737453706271;4380;3646;420;107;2514;359;2873;88%;1955;0;1;0;161;7;16;10;13;0;3853;1,15%;34;1;11203;57;0,51%;10987;68;1%;Socialdemokratiet;https://www,facebook,com/229737453706271;Politiker;Mand;Side;MF'ere;;;20190915;201909;129;12;3;1257;0;5;113;Rød blok
Bjørn Brandenborg;stembrandenborg;https://www.facebook.com/253692938327792;1695;1419;102;28;0;0;0;0%;0;0;0;0;101;13;4;4;24;0;1565;7,24%;8;0;2924;19;0,65%;2948;19;1%;Socialdemokratiet;https://www,facebook,com/253692938327792;Politiker;Mand;Side;MF'ere;;;20190915;201909;212;13;4;0;3;13;196;Rød blok
Astrid Krag;astrid.krag;https://www.facebook.com/256203941229187;33891;23850;6146;989;7925;348;8273;96%;12247;0;0;0;2249;100;187;181;189;0;26756;3,17%;30;1;36061;923;2,63%;35150;971;3%;Socialdemokratiet;https://www,facebook,com/256203941229187;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;1130;205;33;7925;6;75;892;Rød blok
Niels Fuglsang;NfuglsangEP;https://www.facebook.com/264009771074617;2966;2528;204;71;1773;802;2575;69%;752;0;5;1;142;14;5;0;2;0;2691;5,59%;15;1;3532;14;0,40%;3633;17;0%;Socialdemokratiet;https://www,facebook,com/264009771074617;Politiker;Mand;Side;MEP'ere;;;20190915;201909;198;14;5;887;0;9;179;Rød blok
Benny Engelbrecht;BennyEngelbrecht;https://www.facebook.com/270431402967189;4960;3735;710;230;6811;1201;8012;85%;0;0;4;0;189;13;76;1;6;0;4020;1,15%;33;1;13038;58;0,45%;12762;61;0%;Socialdemokratiet;https://www,facebook,com/270431402967189;Politiker;Mand;Side;MF'ere;;;20190915;201909;150;22;7;1362;0;6;122;Rød blok
Jesper Petersen;MFJesper;https://www.facebook.com/287814831337164;3070;2446;261;135;0;0;0;0%;3540;0;0;0;193;11;13;4;7;0;2674;2,34%;16;1;8189;21;0,26%;8048;18;0%;Socialdemokratiet;https://www,facebook,com/287814831337164;Politiker;Mand;Side;MF'ere;;;20190915;201909;192;16;8;0;0;12;167;Rød blok
Henrik Møller;socialdemokratietihelsingor.dk;https://www.facebook.com/291780644793452;73;59;8;0;0;0;0;0%;0;0;0;0;6;0;0;0;0;0;65;6,78%;3;0;360;12;3,45%;364;11;3%;Socialdemokratiet;https://www,facebook,com/291780644793452;Politiker;Mand;Side;MF'ere;;;20190915;201909;24;3;0;0;0;2;22;Rød blok
Camilla Fabricius;CamFabricius;https://www.facebook.com/315126268991751;1312;964;198;73;632;2730;3362;19%;435;0;1;0;75;0;1;0;1;0;1041;1,94%;18;1;3713;5;0,13%;3763;10;0%;Socialdemokratiet;https://www,facebook,com/315126268991751;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;73;11;4;632;0;4;58;Rød blok
Rasmus Prehn;rasmus.prehn;https://www.facebook.com/325793724279369;5615;4792;304;182;4283;3228;7511;57%;2642;0;3;0;279;31;19;2;6;0;5129;2,18%;29;1;8892;71;0,80%;8823;81;1%;Socialdemokratiet;https://www,facebook,com/325793724279369;Politiker;Mand;Side;MF'ere;;;20190915;201909;194;10;6;1071;0;10;177;Rød blok
Marianne Vind;MarianneVindEP;https://www.facebook.com/329236874385098;5605;4260;593;447;4251;12769;17020;25%;0;0;4;0;239;19;5;36;6;0;4565;--;18;1;0;0;�%;3226;194;6%;Socialdemokratiet;https://www,facebook,com/329236874385098;Politiker;Kvinde;Side;MEP'ere;;;20190915;201909;311;33;25;1417;0;13;254;Rød blok
Jeppe Bruus;jeppe.bruus;https://www.facebook.com/340189926157676;494;408;50;7;0;0;0;0%;0;0;0;0;17;8;1;2;1;0;437;2,56%;5;0;3826;-3;-0,08%;3760;-4;0%;Socialdemokratiet;https://www,facebook,com/340189926157676;Politiker;Mand;Side;MF'ere;;;20190915;201909;99;10;1;0;0;3;87;Rød blok
Birgitte Vind;birgitte.vind.1;https://www.facebook.com/346547929246195;664;576;29;15;0;0;0;0%;0;0;0;0;20;19;3;2;0;0;620;14,70%;2;0;2276;35;1,56%;2438;36;2%;Socialdemokratiet;https://www,facebook,com/346547929246195;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;332;15;8;0;0;10;310;Rød blok
Magnus Heunicke;heunicke;https://www.facebook.com/354144841359670;9103;7310;782;366;14779;8399;23178;64%;0;0;3;0;456;46;82;32;29;0;7955;2,57%;18;1;19711;143;0,73%;19884;198;1%;Socialdemokratiet;https://www,facebook,com/354144841359670;Politiker;Mand;Side;MF'ere;;;20190915;201909;506;43;20;4926;2;25;442;Rød blok
Christel Schaldemose;ChristelSchaldemose;https://www.facebook.com/424159230945271;958;773;46;54;2720;853;3573;76%;0;0;1;0;14;5;2;13;51;0;858;0,68%;11;0;12760;16;0,13%;12533;19;0%;Socialdemokratiet;https://www,facebook,com/424159230945271;Politiker;Kvinde;Side;MEP'ere;;;20190915;201909;87;4;5;1360;5;1;78;Rød blok
Trine Bramsen;TrineBramsen;https://www.facebook.com/515338715236513;5735;4780;425;73;4221;344;4565;92%;0;0;0;0;260;37;150;3;7;0;5237;2,80%;19;1;10809;120;1,12%;10981;145;1%;Socialdemokratiet;https://www,facebook,com/515338715236513;Politiker;Kvinde;Side;MF'ere;;;20190915;201909;302;22;4;4221;0;14;276;Rød blok
