Sidenavn;Codename;URL;Total Interactions;Likes;Comments;Shares;Owned Post Views;Owned Views from Shares;Owned Total Views;Percentage Views from Owned Posts;Views on Shared Posts;Views While Live;Video Time;3-Min+ Videos;Loves;Wows;Hahas;Sads;Angrys;Cares;All Reactions;All Interaction Rate;Total Posts;Posts Per Day;Page Likes;Page Growth;Page Growth %;Page Followers;Page Follower Growth;Page Follower Growth %;Parti;Link;Politiker eller Partiside;Køn;Profil eller side;Kategori;Partileder;FTV kandidat;Month;Måned;Totale interaktioner per post;Kommentarer per post;Delinger per post;Videovisninger per videoopslag;Angry per post;Love per post;Reaktioner per post;Blok
Morten Bødskov;mortenbodskov;https://www.facebook.com/131559313586863;6779;5628;661;197;11629;3451;15080;77%;0;0;8;0;144;15;15;10;57;52;5921;1,37%;46;2;10746;57;0,53%;10722;51;0,48%;Socialdemokratiet;https://www,facebook,com/131559313586863;Politiker;Mand;Side;MF'ere;;;20220315;202203;147;14;4;612;1;3;129;Rød blok
Jeppe Kofod;jeppekofod;https://www.facebook.com/137685999659722;1223;860;159;25;0;0;0;0,00%;0;0;0;0;89;1;11;0;4;74;1039;4,33%;1;0;28253;20;0,07%;28233;15;0,05%;Socialdemokratiet;https://www,facebook,com/137685999659722;Politiker;Mand;Side;MF'ere;;;20220315;202203;1223;159;25;0;4;89;1039;Rød blok
Simon Kollerup;simonkollerup;https://www.facebook.com/142316415896803;4344;3728;269;106;3391;1164;4555;74%;0;0;2;0;153;5;7;1;7;68;3969;2,12%;19;1;10750;11;0,10%;11444;11;0,10%;Socialdemokratiet;https://www,facebook,com/142316415896803;Politiker;Mand;Side;MF'ere;;;20220315;202203;229;14;6;1696;0;8;209;Rød blok
Jens Joel;jensjoel;https://www.facebook.com/143882519070566;4091;3147;590;64;0;0;0;0%;0;0;0;0;173;9;22;29;19;38;3437;2,74%;17;1;8747;-9;-0,10%;8614;-7;-0,08%;Socialdemokratiet;https://www,facebook,com/143882519070566;Politiker;Mand;Side;MF'ere;;;20220315;202203;241;35;4;0;1;10;202;Rød blok
Ane Halsboe-Jørgensen;stemhalsboe;https://www.facebook.com/169938849689771;4231;3332;576;56;0;0;0;0%;0;0;0;0;185;5;44;3;2;28;3599;3,84%;16;1;6912;87;1%;7188;88;1,24%;Socialdemokratiet;https://www,facebook,com/169938849689771;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;264;36;4;0;0;12;225;Rød blok
Kasper Sand Kjær;KasperSandK;https://www.facebook.com/223099558291164;1614;1345;165;23;348;0;348;100%;1356;0;1;0;67;0;3;0;3;8;1426;1,89%;22;1;3873;8;0,21%;4145;28;1%;Socialdemokratiet;https://www,facebook,com/223099558291164;Politiker;Mand;Side;MF'ere;;;20220315;202203;73;8;1;348;0;3;65;Rød blok
Mogens Jensen;mogensjensen;https://www.facebook.com/229737453706271;10479;8092;817;429;0;0;0;0%;0;0;0;0;714;13;12;106;25;271;9233;3,73%;21;1;13395;40;0,30%;13812;28;0,20%;Socialdemokratiet;https://www,facebook,com/229737453706271;Politiker;Mand;Side;MF'ere;;;20220315;202203;499;39;20;0;1;34;440;Rød blok
Bjørn Brandenborg;stembrandenborg;https://www.facebook.com/253692938327792;3246;2264;370;94;656;121;777;84%;0;0;0;0;144;8;313;2;1;50;2782;4,81%;16;1;4212;21;1%;4378;17;0%;Socialdemokratiet;https://www,facebook,com/253692938327792;Politiker;Mand;Side;MF'ere;;;20220315;202203;203;23;6;656;0;9;174;Rød blok
Astrid Krag;astrid.krag;https://www.facebook.com/256203941229187;29600;17651;5502;1784;49631;1659;51290;97%;0;0;0;0;1441;69;1098;88;398;1569;22314;1,72%;30;1;57379;48;0,08%;58094;23;0%;Socialdemokratiet;https://www,facebook,com/256203941229187;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;987;183;59;49631;13;48;744;Rød blok
Niels Fuglsang;NfuglsangEP;https://www.facebook.com/264009771074617;3348;2660;345;70;678;29;707;96%;0;0;1;0;174;5;11;33;4;46;2933;4,88%;12;0;5720;9;0,16%;6036;16;0,27%;Socialdemokratiet;https://www,facebook,com/264009771074617;Politiker;Mand;Side;MEP'ere;;;20220315;202203;279;29;6;678;0;15;244;Rød blok
