Page ID,Page Name,Disclaimer,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
1685091448435944,Alternativet - Albertslund,,Alternativet,https://www.facebook.com/1685091448435944,Partiside,Partiside,Side,,,
1711389739139189,Alternativets Unge Faxe-Stevns,,Alternativet,https://www.facebook.com/1711389739139189,Partiside,Partiside,Side,,,
1715532455423160,Michael Jonasen KV17-kandidat for Alternativet Albertslund,Michael Jonasen KV17-kandidat for Alternativet Albertslund,Alternativet,https://www.facebook.com/1715532455423160,Politiker,Mand,Side,,,
1735297220079839,Alternativet Vesthimmerland,,Alternativet,https://www.facebook.com/1735297220079839,Partiside,Partiside,Side,,,
1825515087666734,Alternativet - Guldborgsund,,Alternativet,https://www.facebook.com/1825515087666734,Partiside,Partiside,Side,,,
1881424281886844,Alternativet i Frederikshavn Kommune,,Alternativet,https://www.facebook.com/1881424281886844,Partiside,Partiside,Side,,,
1883846851866507,Alternativet Lyngby-Taarbæk,,Alternativet,https://www.facebook.com/1883846851866507,Partiside,Partiside,Side,,,
1918228001777515,Alternativet i Odder,,Alternativet,https://www.facebook.com/1918228001777515,Partiside,Partiside,Side,,,
2381011288790606,Alternativet Solrød,,Alternativet,https://www.facebook.com/2381011288790606,Partiside,Partiside,Side,,,
109818176404384,Martin Runager - Alternativet Fredericia,Martin Runager - Alternativet Fredericia,Alternativet,https://www.facebook.com/109818176404384,Politiker,Mand,Side,,,
126289831389237,Alternativet Fanø,,Alternativet,https://www.facebook.com/126289831389237,Partiside,Partiside,Side,,,
222630414794195,Alternativets Unge Rebild,,Alternativet,https://www.facebook.com/222630414794195,Partiside,Partiside,Side,,,
224014278047231,Alternativet - En seriøs bæredygtig omstilling,,Alternativet,https://www.facebook.com/224014278047231,Partiside,Partiside,Side,,,
245538722564216,Alternativet i Køge,,Alternativet,https://www.facebook.com/245538722564216,Partiside,Partiside,Side,,,
255333891585648,Alternativet Stevns,,Alternativet,https://www.facebook.com/255333891585648,Partiside,Partiside,Side,,,
269513803396816,Alternativet Glostrup,,Alternativet,https://www.facebook.com/269513803396816,Partiside,Partiside,Side,,,
298157037041855,Qasam N. Ahmad - Alternativet,Qasam N. Ahmad - Alternativet,Alternativet,https://www.facebook.com/298157037041855,Politiker,Mand,Side,,,
308393836296960,Alternativet Brøndby,,Alternativet,https://www.facebook.com/308393836296960,Partiside,Partiside,Side,,,
324739231320911,"Maja Krog, Alternativet København","Maja Krog, Alternativet København",Alternativet,https://www.facebook.com/324739231320911,Politiker,Kvinde,Side,,,
326684601109184,Alternativet Roskilde,,Alternativet,https://www.facebook.com/326684601109184,Partiside,Partiside,Side,,,
328966680624614,Ulla Sandbæk,Ulla Sandbæk,Alternativet,https://www.facebook.com/328966680624614,Politiker,Kvinde,Side,,,
341974156169678,Alternativet Lokalkreds Lejre,,Alternativet,https://www.facebook.com/341974156169678,Partiside,Partiside,Side,,,
347676632240497,Alternativet i Struer kommune,,Alternativet,https://www.facebook.com/347676632240497,Partiside,Partiside,Side,,,
369183480094806,Christian Johnson Alternativet,Christian Johnson Alternativet,Alternativet,https://www.facebook.com/369183480094806,Politiker,Mand,Side,,,
425819990922746,Alternativet Rudersdal,,Alternativet,https://www.facebook.com/425819990922746,Partiside,Partiside,Side,,,
476367169368222,Kasper Mørup - Alternativet Horsens,Kasper Mørup - Alternativet Horsens,Alternativet,https://www.facebook.com/476367169368222,Politiker,Mand,Side,,,
515218362011776,Alternativet Esbjerg & Fanø,,Alternativet,https://www.facebook.com/515218362011776,Partiside,Partiside,Side,,,
562914817224485,"Rasmus Foged, Alternativet, regionsrådsmedlem Region Midtjylland","Rasmus Foged, Alternativet, regionsrådsmedlem Region Midtjylland",Alternativet,https://www.facebook.com/562914817224485,Politiker,Mand,Side,,,FTV kandidat
584621585049634,Alternativet Nyborg,,Alternativet,https://www.facebook.com/584621585049634,Partiside,Partiside,Side,,,
631548477010278,Alternativet Brønderslev,,Alternativet,https://www.facebook.com/631548477010278,Partiside,Partiside,Side,,,
642934009203388,Alternativet Lokalforeningen Ærø,,Alternativet,https://www.facebook.com/642934009203388,Partiside,Partiside,Side,,,
666052093585814,Erkan Yildiz  Alternativet Brøndby,Erkan Yildiz  Alternativet Brøndby,Alternativet,https://www.facebook.com/666052093585814,Politiker,Mand,Side,,,
684213871706672,Steen Rågård,Steen Rågård,Alternativet,https://www.facebook.com/684213871706672,Politiker,Mand,Side,,,
791714997564022,Jesper Nørgaard Kjær - Alternativet,Jesper Nørgaard Kjær - Alternativet,Alternativet,https://www.facebook.com/791714997564022,Politiker,Mand,Side,,,
820422811396515,Alternativets Unge - Køge,,Alternativet,https://www.facebook.com/820422811396515,Partiside,Partiside,Side,,,
820708911420584,Alternativet Horsens,,Alternativet,https://www.facebook.com/820708911420584,Partiside,Partiside,Side,,,
834893340013893,Sus Brodt // Alternativet Brøndby,Sus Brodt // Alternativet Brøndby,Alternativet,https://www.facebook.com/834893340013893,Politiker,Kvinde,Side,,,
845079962213863,Alternativet Odsherred,,Alternativet,https://www.facebook.com/845079962213863,Partiside,Partiside,Side,,,
857038121008946,Rolf Bjerre,Rolf Bjerre,Alternativet,https://www.facebook.com/857038121008946,Politiker,Mand,Side,,,
883951528426757,Kim Limkilde-Welcher Alternativet Brøndby,Kim Limkilde-Welcher Alternativet Brøndby,Alternativet,https://www.facebook.com/883951528426757,Politiker,Mand,Side,,,
914656661976686,Alternativet i Jammerbugt,Alternativet i Jammerbugt,Alternativet,https://www.facebook.com/914656661976686,Partiside,Partiside,Side,,,
937243636307601,Pernille Schnoor,Pernille Schnoor,Alternativet,https://www.facebook.com/937243636307601,Politiker,Kvinde,Side,,,
945488538865252,Alternativet,Alternativet,Alternativet,https://www.facebook.com/945488538865252,Partiside,Partiside,Side,Nationalt parti,,
1104451122996848,Ann Busch Alternativet,Ann Busch Alternativet,Alternativet,https://www.facebook.com/1104451122996848,Politiker,Kvinde,Side,,,
1106499219373836,Alternativet Samsø,,Alternativet,https://www.facebook.com/1106499219373836,Partiside,Partiside,Side,,,
1140475395963931,Alternativet Faaborg-Midtfyn,,Alternativet,https://www.facebook.com/1140475395963931,Partiside,Partiside,Side,,,
