Page ID,Page Name,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder
362875644473220,Kim Valentin,Venstre,https://www.facebook.com/362875644473220,Politiker,Mand,Side,MF'ere,
1719764131664489,Anne Honoré Østergaard,Venstre,https://www.facebook.com/1719764131664489,Politiker,Kvinde,Side,MF'ere,
106262031788897,Anne Rasmussen,Venstre,https://www.facebook.com/106262031788897,Politiker,Kvinde,Side,MF'ere,
276323316097998,Anni Matthiesen,Venstre,https://www.facebook.com/276323316097998,Politiker,Kvinde,Side,MF'ere,
404683979561081,Bertel Haarder,Venstre,https://www.facebook.com/404683979561081,Politiker,Mand,Side,MF'ere,
1434441170209403,Carsten Kissmeyer,Venstre,https://www.facebook.com/1434441170209403,Politiker,Mand,Side,MF'ere,
539568842764605,Christoffer Aagaard Melson,Venstre,https://www.facebook.com/539568842764605,Politiker,Mand,Side,MF'ere,
1438373589730446,Claus Hjort Frederiksen,Venstre,https://www.facebook.com/1438373589730446,Politiker,Mand,Side,MF'ere,
123900591027437,Ellen Trane Nørby,Venstre,https://www.facebook.com/123900591027437,Politiker,Kvinde,Side,MF'ere,
390925417751473,Erling Bonnesen,Venstre,https://www.facebook.com/390925417751473,Politiker,Mand,Side,MF'ere,
331049873725952,Eva Kjer Hansen,Venstre,https://www.facebook.com/331049873725952,Politiker,Kvinde,Side,MF'ere,
1695475020740767,Fatma Øktem,Venstre,https://www.facebook.com/1695475020740767,Politiker,Kvinde,Side,MF'ere,
561507140593570,Hans Andersen,Venstre,https://www.facebook.com/561507140593570,Politiker,Mand,Side,MF'ere,
219165404941522,Hans Christian Schmidt,Venstre,https://www.facebook.com/219165404941522,Politiker,Mand,Side,MF'ere,
1912736882278358,Heidi Bank,Venstre,https://www.facebook.com/1912736882278358,Politiker,Kvinde,Side,MF'ere,
256754327854276,Jacob Jensen,Venstre,https://www.facebook.com/256754327854276,Politiker,Mand,Side,MF'ere,
267297590272820,Jakob Ellemann-Jensen,Venstre,https://www.facebook.com/267297590272820,Politiker,Mand,Side,MF'ere,Partileder
329413910880676,Jan E. Jørgensen,Venstre,https://www.facebook.com/329413910880676,Politiker,Mand,Side,MF'ere,
925932494102782,Karen Ellemann,Venstre,https://www.facebook.com/925932494102782,Politiker,Kvinde,Side,MF'ere,
1489836057958537,Karsten Lauritzen,Venstre,https://www.facebook.com/1489836057958537,Politiker,Mand,Side,MF'ere,
180919889239757,Kenneth MIkkelsen,Venstre,https://www.facebook.com/180919889239757,Politiker,Mand,Side,MF'ere,
1956719637909855,Kristian Pihl Lorentzen,Venstre,https://www.facebook.com/1956719637909855,Politiker,Mand,Side,MF'ere,
1408142216156387,Lars Chr. Lilleholt,Venstre,https://www.facebook.com/1408142216156387,Politiker,Mand,Side,MF'ere,
798227683607349,Louise Schack Elholm,Venstre,https://www.facebook.com/798227683607349,Politiker,Kvinde,Side,MF'ere,
