Storkreds,Parti,Navn,Køn,Profile,Profile-ID
Københavns Omegns Storkreds,Moderaterne,Lucas Olsgaard,M,Lucas_olsgaard,7077126865735910405
Københavns Storkreds,Moderaterne,Marina Andersen,M,Marina Andersen,7135000472469636101
Københavns Omegns Storkreds,Moderaterne,Michael Hertz,M,michaelvibehertz,6977398619797570566
Københavns Omegns Storkreds,Moderaterne,Mike Fonseca,K,Mike Villa Fonseca,6831487138884011014
Københavns Omegns Storkreds,Moderaterne,Monika Rubin,M,Monika Rubin,7094101549647479813
Fyns Storkreds,Moderaterne,Rosa Eriksen,M,Rosa Bechmann Erikse,6814076821329888262
Østjyllands Storkreds,Moderaterne,Tobias Grotkjær,M,Tobias Grotkjær Elmstrøm,7100915612511978501
Nordjyllands Storkreds,Moderaterne,Dina Mofidi,,Dina Mofidi,6824618071623713798
Københavns Storkreds,Moderaterne,Ellen Emilie Mindegaard-Müllertz,,Ellen Emilie,7002104883441517574
Vestjyllands Storkreds,Moderaterne,Freya Luna,,Freya Luna,158754325798772736
Nordsjællands Storkreds,Moderaterne,Jakob Engel-Schmidt,,Jakob Engel-Schmidt,7141307814983271430
Københavns Omegns Storkreds,Moderaterne,Lars Arne Christensen,,Lars Arne Christensen,7142268488261043205
Sjællands Storkreds,Moderaterne,Lars Løkke Rasmussen,,LarsL?kke,7146928677090493446
Nordsjællands Storkreds,Moderaterne,Carina Bloch Simonsen,,ModeraterneCarinaBlochSimonsen,7140351064251515909
Vestjyllands Storkreds,Moderaterne,Nikolaj Gam Pedersen,,Nikolaj Gam-Pedersen,7146187415362896901
Københavns Omegns Storkreds,Nye Borgerlige,Claus Bøgh Svenningsen,M,Claus Bøgh Svennings,6908874522196837381
Sydjyllands Storkreds,Nye Borgerlige,Karsten Byrgesen,M,karstenbyrgesen,7131992909088834565
Østjyllands Storkreds,Nye Borgerlige,Lars Boje Mathiesen,M,Lars Boje Mathiesen,6706164864933774341
Københavns Storkreds,Nye Borgerlige,Niels Peder Ravn,M,Niels Peder Ravn,7091130357403091974
Sydjyllands Storkreds,Nye Borgerlige,Rune Bønnelykke,M,Folketingskandidat Syddanmark,7112696211584877573
Sydjyllands Storkreds,Nye Borgerlige,Tom Andkjær,M,Tom Camargo Andkjær,83753309089521664
,Nye Borgerlige,Nye Borgerlige,,Nye Borgerlige,7076027611050378246
,Nye Borgerlige,Nye Borgerliges Ungdom,,Nye Borgerliges Ungdom,7118787278914552837
Nordjyllands Storkreds,Nye Borgerlige,Brian Nielsen,,Brian_Nielsen_NB,7132865213712319494
Københavns Storkreds,Nye Borgerlige,Denise Rostgaard,,DeniseRostgaard,7034147096198972421
Sjællands Storkreds,Nye Borgerlige,Githa Nelander,,githanelander,7141691570097751046
Sjællands Storkreds,Nye Borgerlige,Henriette Ergemann,,henrietteergemann,7146584343979951109
Sjællands Storkreds,Nye Borgerlige,Jan Bigum Warming,,JBWarming,7143003993349817349
Fyns Storkreds,Nye Borgerlige,Malte Jäger,,Malte J�ger,6889899921324819462
Sydjyllands Storkreds,Nye Borgerlige,Thomas Vedsted Rothman,,thomasvedstedroth,7146189097168897029
Sjællands Storkreds,Radikale Venstre,Anne Sophie Callesen,K,ANNE SOPHIE CALLESEN - RV,7112100051094160390
Københavns Storkreds,Radikale Venstre,Clara Halvorsen,K,Clara Halvorsen,7125797508358308870
Nordjyllands Storkreds,Radikale Venstre,Daniel Nyboe Andersen,M,Daniel Nyboe Anderse,160972955173376000
Københavns Omegns Storkreds,Radikale Venstre,Esat Sentürk,M,EsatSenturk,7136503252066157573
Sjællands Storkreds,Radikale Venstre,Freja Fokdal,K,Freja Fokdal,6798963806716838917
Københavns Omegns Storkreds,Radikale Venstre,Hediye Temiz,K,Hediye Temiz,6809005736442610694
Nordsjællands Storkreds,Radikale Venstre,Jacob Netteberg,M,Jacob Netteberg,6817679944002388998
Vestjyllands Storkreds,Radikale Venstre,Kathrine Olldag,K,Kathrine Olldag,7096344788479296517
Fyns Storkreds,Radikale Venstre,Kim Lei Jensen,M,Kim Lei-Jensen,6743174425275483142
Københavns Storkreds,Radikale Venstre,Klaus Bondam,M,KlausBondam,7133565516417549318
Sjællands Storkreds,Radikale Venstre,Line Krogh Lay,K,Line Krogh Lay,6914041263709832197
Sjællands Storkreds,Radikale Venstre,Lukas Lunøe,M,Lukas Lunøe,6991441079132881925
Nordsjællands Storkreds,Radikale Venstre,Maria Katarina Nielsen,K,Maria Katarina Nielsen,7129442061267190790
Københavns Storkreds,Radikale Venstre,Michael Rachlin,M,Michael Rachlin203,7100461766391514117
Østjyllands Storkreds,Radikale Venstre,Rebecca Marie Johansson,K,RebeccamarieJ,8448405
Københavns Storkreds,Radikale Venstre,Samira Nawa,K,SAMIRA NAWA,6793805014860628997
Nordjyllands Storkreds,Radikale Venstre,Steffen Holme Helledie,M,Steffen Holme Helledie,7075988139052073990
Østjyllands Storkreds,Radikale Venstre,Susan Kronborg,K,susankronborg,6992657143825761286
Sjællands Storkreds,Radikale Venstre,Zenia Stampe,K,zeniastampe,7127573755999618054
,Radikale Venstre,Radikale Venstre,,Radikalevenstre,7088640033954989062
Østjyllands Storkreds,Radikale Venstre,Andreas Steenberg,,Andreas Steenberg,7147784768871695366
Østjyllands Storkreds,Radikale Venstre,Katrine Robsøe,,KatrineRobsoe,7135428813689095174
Bornholms Storkreds,Radikale Venstre,Mathilde Lissau,,Matilde Lissau,7101543593068430341
Københavns Storkreds,Radikale Venstre,Ruben Kidde,,Ruben_Kidde,7144996857130009606
,SF,Sadek Al-Amood,,Sadek Al-Amood,6822600491164353542
,SF,Socialistisk Folkeparti,,SF,6779495548661810181
Sjællands Storkreds,SF,Anne Valentina Berthelsen,K,Anne Valentina Berthelsen,7058160981087781893
Københavns Storkreds,SF,Carl Valentin,M,Carl Valentin,6791984986301170694
Østjyllands Storkreds,SF,Charlotte Broman Mølbæk,K,CharlotteBromanMoelbaek,7135047423466603526
Sydjyllands Storkreds,SF,David Dam Jensen,M,David Dam Jensen,6748011671647945734
Københavns Storkreds,SF,Halime Oguz,K,Halime Oguz755,7085062708260979718
Sjællands Storkreds,SF,Jeanne Bergmansen,K,Jeanne Bergmansen,7076738051074900998
Sydjyllands Storkreds,SF,Karin B Nissen,K,karinBnissen,7107990840211899397
Sydjyllands Storkreds,SF,Karina Lorentzen Dehnhardt,K,Karina Lorentzen,6829188372150895621
Nordsjællands Storkreds,SF,Marianne Bigum,M,MarianneBigum,7104355129516672005
Vestjyllands Storkreds,SF,Meritta Bjerregaard,K,Meritta SF,7089046635745788934
Sydjyllands Storkreds,SF,Milo Jacobsen Gaarde,M,Milo Jacobsen Gaarde,6680414438334530566
Vestjyllands Storkreds,SF,Niels Kristian Larsen,M,Niels Kristian Larsen,6808253941235860486
Københavns Omegns Storkreds,SF,Sigurd Agersnap,M,SigurdAgersnap,7128102618572227589
Københavns Omegns Storkreds,SF,Sofie Falck Villadsen,K,Sofie F. Villadsen,6973568437398504454
Østjyllands Storkreds,SF,Sofie Lippert ,K,Sofie Lippert,6820400317084664837
Københavns Omegns Storkreds,SF,Troels Stru Schmidt,K,Troels,7039688240836740101
,SF,Mads Olesen,,Mads Olsen,7085790024892974086
Nordjyllands Storkreds,SF,Benjamin Jørgensen,,Benjamin j?rgensen,6808110088747893765
Sjællands Storkreds,SF,Claus Jørgensen,,Claus J?rgensen,7139821076783891462
Fyns Storkreds,SF,Jonas Hulgaard Ammundsen,,Jonas,6811064219212514309
Nordjyllands Storkreds,SF,Melina Andersen,,melinaandersensf,7146153955624846341
Nordjyllands Storkreds,SF,Theresa Berg Andersen,,TheresaBergAndersen,6791476804010083334
Sydjyllands Storkreds,Socialdemokratiet,Anders Kronborg,M,Anders Kronborg,7113073966605321221
Østjyllands Storkreds,Socialdemokratiet,Anna Thusgård,K,Anna Thusgård Rørstr,7060508639254070278
Sydjyllands Storkreds,Socialdemokratiet,Barbara Krarup Hansen,K,Barbara Krarup Hansen,179082956785778688
Københavns Omegns Storkreds,Socialdemokratiet,Fie Hækkerup,K,Fie Hækkerup,149003295540301824
Københavns Storkreds,Socialdemokratiet,Halima El Abassi,K,Halima El Abassi,7011630732523521029
Københavns Storkreds,Socialdemokratiet,Nikoline Linnemann Prehn,K,nikolineprehn,7111250960077063173
,Socialdemokratiet,DSU,,DSU,7010793504905954310
Nordjyllands Storkreds,Venstre ,Anne Honoré Østergaard,K,AnneHonoreOestergaard,7091373097719481350
Københavns Storkreds,Venstre ,Anne Rasmussen,K,annerasmussen335,7024426463257822214
Nordsjællands Storkreds,Venstre ,Hans Andersen,M,Hans Andersen,7139478669806978053
Københavns Omegns Storkreds,Venstre ,Kim Valentin,M,kimvalentindk,7133877440279577606
Københavns Storkreds,Venstre ,Linea Søgaard-Lidell,K,Linea Søgaard-Lidell,7091002616524489733
Nordjyllands Storkreds,Venstre ,Maja Torp,K,majatorp1973,7109084575787992069
Sjællands Storkreds,Venstre ,Malene Grandjean,K,Malene Grandjean,7033492638126146565
Nordjyllands Storkreds,Venstre ,Marie Bjerre,K,,
Fyns Storkreds,Venstre ,Marlene Ambo-Rasmussen,K,,710228804154861
Sydjyllands Storkreds,Venstre ,Tilde Holch Duedahl,K,TildeDuedahl,7104008327097746437
Østjyllands Storkreds,Venstre ,Tina Lund Sørensen,K,Tina Lund Sørensen,7139183583684527109
,Venstre ,Venstre,,venstredk,7100851582459216902
,Venstre ,Venstres Ungdom,,Venstres Ungdom,6899149185438958593
,Venstre ,Jakob Ellemann-Jensen,,Jakob Ellemann-Jensen,7148380785120592901
Sjællands Storkreds,Venstre ,Iben Kiilerich Krog,,ibenkiilerichkrog,7141662184002634757
Østjyllands Storkreds,Venstre ,Louise Lingren Louring,,Louise_Louring,7146332391137100806
Sjællands Storkreds,Venstre ,Marcus Danielsson,,Marcus Danielsson,7128318160525460485
Nordjyllands Storkreds,Venstre ,Marie Bjerre,,Marie Bjerre,7110483086349386758
Nordsjællands Storkreds,Venstre ,Thomas Elong,,Thomas Elong,7144832683909317637
