ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
111394892261429,Morten Messerschmidt,Dansk Folkeparti,82763,80,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,MF'ere,Partileder,FTV kandidat
111786634296387,Nana Harring - Dansk Folkeparti,Dansk Folkeparti,28517,47,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
117580505339347,Dansk Folkeparti Svendborg,Larsen Marianne Mix,1220,10,Dansk Folkeparti,Partiside,Blå blok,Partiside,Side,,,
122225861299622,Erling Præstekjær,Erling Præstekjær,2000,1,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
132619697171647,Carsten Sørensen - Dansk Folkeparti i Region Syddanmark,Carsten Sørensen,144,1,Dansk Folkeparti,Partiside,Blå blok,Partiside,Side,,,
147206859132230,Cheanne Nielsen,Dansk Folkeparti,3441,16,Dansk Folkeparti,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
158610284647898,"Carsten Ullmann Andersen, Dansk Folkeparti",Andersen Carsten Ullmann,3127,18,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
183312979158588,René Christensen - Dansk Folkeparti,Dansk Folkeparti,73761,82,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,MF'ere,,FTV kandidat
183312979158588,René Christensen - Dansk Folkeparti,Christensen Rene Bjorn,2250,3,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,MF'ere,,FTV kandidat
198831546968388,Anders Ladegaard Bork - Dansk Folkeparti,Anders Ladegaard Bork,2986,6,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
331034483992282,Nick Zimmermann - Dansk Folkeparti,Zimmermann Nick,19706,56,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
331034483992282,Nick Zimmermann - Dansk Folkeparti,Dansk Folkeparti,7442,78,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
337897239700571,Peter Kofod - Dansk Folkeparti,Dansk Folkeparti,41580,34,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,MEP'ere,,FTV kandidat
357445107704324,Dansk Folkeparti - Hillerød,Jette Juul,930,8,Dansk Folkeparti,Partiside,Blå blok,Partiside,Side,,,
358102574347013,Kenneth Kristensen Berth,Dansk Folkeparti,11432,33,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
456176268097215,Gert Løfgren  Dansk Folkeparti.,Dansk Folkeparti,3841,16,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,
456176268097215,Gert Løfgren  Dansk Folkeparti.,Gert Løfgren,980,2,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,
493821064327890,Frank Sørensen Dansk Folkeparti,Dansk Folkeparti,3848,5,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
500736773353275,Brian Lyck Jørgensen - Dansk Folkeparti,Brian Jørgensen,1158,14,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
506051112930249,Mikkel Dencker,Dencker Mikkel Sjoberg Hjermind,8548,6,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
507949862711258,Dansk Folkeparti på Bornholm,Rene Birk Danielsson,2298,4,Dansk Folkeparti,Partiside,Blå blok,Partiside,Side,,,
520449347983427,Dansk Folkeparti,Dansk Folkeparti,389104,593,Dansk Folkeparti,Partiside,Blå blok,Partiside,Side,Nationalt parti,,
529222380457868,Simon Hampe - Dansk Folkeparti,Simon Hampe Sørensen,4640,12,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
675912309250460,DF Brian Mørch,Morch Brian,553,1,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,
765242370315553,Kim Malmberg Hansen,Kim Malmberg Hansen,874,3,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
796135447246465,Danny Rosenkilde,Danny Manfred Rosenkilde Nielsen,809,27,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
1056332034484258,Daniel Aage Holm - Dansk Folkeparti,Daniel Aage Holm,369,4,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,
1448006052123626,Michael Nedersøe,Dansk Folkeparti,29110,61,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
1493650460890885,Kenneth Fredslund Petersen - Folketingkandidat for DanmarksDemokraterne,Petersen Kenneth Fredslund,2485,9,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
1498813583685622,Anders Vistisen,Dansk Folkeparti,31453,39,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
1537774176472753,Dansk Folkeparti Odense,Dansk Folkeparti,17140,27,Dansk Folkeparti,Partiside,Blå blok,Partiside,Side,,,
1816589552003891,Jakob Kjærsgaard,Dansk Folkeparti,4950,6,Dansk Folkeparti,Politiker,Blå blok,Mand,Side,,,FTV kandidat
47908701568,Søren Søndergaard,Enhedslisten,4999,3,Enhedslisten,Politiker,Rød blok,Mand,Side,MF'ere,,FTV kandidat
64344083041,Enhedslisten Aalborg,Enhedslisten Aalborg,3000,4,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
67290408185,Trine Mach,Trine Pertou Mach,942,3,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
100406347555,Enhedslisten Høje-Taastrup,Enhedslisten,785,4,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
126648500204,Enhedslisten Svendborg,Kiel Jesper,213,3,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
223040066022,Enhedslisten,Enhedslisten,488534,81,Enhedslisten,Partiside,Rød blok,Partiside,Side,Nationalt parti,,
494281450430,Enhedslisten Odense,Enhedslisten Odense,8881,8,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
104080038702172,Emil Ulrik Andersen,Enhedslisten Allerød,300,5,Enhedslisten,Politiker,Rød blok,Mand,Side,,,
105469628366846,"Per Møller Jacobsen, Enhedslisten","Per Møller Jacobsen, Enhedslisten",1379,6,Enhedslisten,Politiker,Rød blok,Mand,Side,,,
105723258303685,Enhedslisten Fanø,Enhedslisten Fanø,813,4,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
106125351587346,Stefan Rundstrøm - Enhedslisten,Stefan Rundstrøm,400,2,Enhedslisten,Politiker,Rød blok,Mand,Side,,,FTV kandidat
109840068452080,Emil Samaras,Emil Samaras Eriksen,2052,9,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
112878134641391,Christine Lundgaard,Christine Lundgaard,2581,21,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
113339079333534,Berit Raldin,Raldin Berit,204,2,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
152998148120032,Enhedslisten Århus,Enhedslisten Århus,7645,12,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
162788300598203,Enhedslisten Lyngby,Enhedslisten Lyngby,583,3,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
163526842056975,Anders Pedersen - Enhedslisten,Enhedslisten Randers,1000,1,Enhedslisten,Politiker,Rød blok,Mand,Side,,,
164593977049986,Enhedslisten Rebild,Enhedslisten Rebild,500,2,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
191351967739859,Tobias Clausen,Tobias Borup Clausen,5999,7,Enhedslisten,Politiker,Rød blok,Mand,Side,,,FTV kandidat
191351967739859,Tobias Clausen,Sidse Gry Jeppesen,864,4,Enhedslisten,Politiker,Rød blok,Mand,Side,,,FTV kandidat
195621950482248,Rosa Lund,Enhedslisten,189,1,Enhedslisten,Politiker,Rød blok,Kvinde,Side,MF'ere,,
196270790402710,Rasmus Vestergaard Madsen,Madsen Rasmus Vestergaard,2500,4,Enhedslisten,Politiker,Rød blok,Mand,Side,MF'ere,,FTV kandidat
197276850783720,Peter Sig Politik,Peter Kristensen,263,3,Enhedslisten,Politiker,Rød blok,Mand,Side,,,FTV kandidat
217104742212650,Sinem Demir,Sinem Demir,9183,4,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
280128768754254,Enhedslisten Silkeborg,Andersen Mikkel Zøllner,500,1,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
285722315449568,Mai Villadsen,Enhedslisten,14284,5,Enhedslisten,Politiker,Rød blok,Kvinde,Side,MF'ere,Partileder,FTV kandidat
335907613542867,Ibrahim Benli,Ibrahim Benli,656,4,Enhedslisten,Politiker,Rød blok,Mand,Side,,,FTV kandidat
366165650071333,Enhedslisten Køge,Rolskov Niels,7472,8,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
418179784893842,Enhedslisten Hillerød,Rasmussen Karl-Erik,4265,13,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
