Parti,Antal sider,Brugt i alt,Antal annoncer,Day,Blok
Enhedslisten,11,21014,60,20221025,Rød blok
Frie Grønne,1,1407,4,20221025,Rød blok
Konservative,81,128529,882,20221025,Blå blok
Kristendemokraterne,14,5423,44,20221025,Blå blok
Liberal Alliance,23,118588,477,20221025,Blå blok
Moderaterne,13,18708,129,20221025,Blå blok
Nye Borgerlige,23,41429,443,20221025,Blå blok
Radikale Venstre,27,36644,414,20221025,Rød blok
Socialdemokratiet,55,88683,542,20221025,Rød blok
Socialistisk Folkeparti,44,60581,421,20221025,Rød blok
Venstre,63,151580,1380,20221025,Blå blok
Alternativet,9,5807,57,20221026,Rød blok
Andet,1,134,2,20221026,Andet
Danmarksdemokraterne,13,32251,222,20221026,Blå blok
Dansk Folkeparti,20,40096,633,20221026,Blå blok
Enhedslisten,14,23375,62,20221026,Rød blok
Frie Grønne,1,1187,8,20221026,Rød blok
Konservative,86,165914,947,20221026,Blå blok
Kristendemokraterne,13,7817,54,20221026,Blå blok
Liberal Alliance,23,113024,451,20221026,Blå blok
Moderaterne,11,22642,119,20221026,Blå blok
Nye Borgerlige,22,44775,444,20221026,Blå blok
Radikale Venstre,31,45338,449,20221026,Rød blok
Socialdemokratiet,51,100579,596,20221026,Rød blok
Socialistisk Folkeparti,49,64974,460,20221026,Rød blok
Venstre,70,157198,1440,20221026,Blå blok
Alternativet,12,9652,70,20221027,Rød blok
Andet,1,176,3,20221027,Andet
Danmarksdemokraterne,13,32603,242,20221027,Blå blok
Dansk Folkeparti,24,46524,689,20221027,Blå blok
Enhedslisten,19,21025,63,20221027,Rød blok
Frie Grønne,3,3395,8,20221027,Rød blok
Konservative,89,190554,1057,20221027,Blå blok
Kristendemokraterne,18,11501,66,20221027,Blå blok
Liberal Alliance,24,117231,478,20221027,Blå blok
Moderaterne,13,24183,130,20221027,Blå blok
Nye Borgerlige,24,47120,452,20221027,Blå blok
Radikale Venstre,33,50872,476,20221027,Rød blok
Socialdemokratiet,58,105183,623,20221027,Rød blok
Socialistisk Folkeparti,51,74142,501,20221027,Rød blok
Venstre,69,186605,1524,20221027,Blå blok
Alternativet,11,10503,73,20221028,Rød blok
Andet,1,120,2,20221028,Andet
Danmarksdemokraterne,13,25564,283,20221028,Blå blok
Dansk Folkeparti,26,55701,718,20221028,Blå blok
Enhedslisten,18,40951,64,20221028,Rød blok
Frie Grønne,3,3782,8,20221028,Rød blok
Konservative,90,247417,1115,20221028,Blå blok
Kristendemokraterne,18,12189,76,20221028,Blå blok
Liberal Alliance,24,169144,526,20221028,Blå blok
Moderaterne,13,28428,121,20221028,Blå blok
Nye Borgerlige,28,51573,463,20221028,Blå blok
Radikale Venstre,36,60438,487,20221028,Rød blok
Socialdemokratiet,64,128917,599,20221028,Rød blok
Socialistisk Folkeparti,51,91437,535,20221028,Rød blok
Venstre,71,193606,1495,20221028,Blå blok
Alternativet,12,30928,82,20221029,Rød blok
Andet,1,119,2,20221029,Andet
Danmarksdemokraterne,15,40093,303,20221029,Blå blok
Dansk Folkeparti,28,64365,695,20221029,Blå blok
Enhedslisten,19,46423,70,20221029,Rød blok
Frie Grønne,2,3581,7,20221029,Rød blok
Konservative,92,275188,1150,20221029,Blå blok
Kristendemokraterne,15,14091,74,20221029,Blå blok
Liberal Alliance,24,112220,473,20221029,Blå blok
Moderaterne,15,56709,124,20221029,Blå blok
Nye Borgerlige,28,60887,501,20221029,Blå blok
Radikale Venstre,38,72841,525,20221029,Rød blok
Socialdemokratiet,67,152734,648,20221029,Rød blok
Socialistisk Folkeparti,55,113581,537,20221029,Rød blok
Venstre,75,211080,1492,20221029,Blå blok
Alternativet,11,30876,79,20221030,Rød blok
Andet,2,286,3,20221030,Andet
Danmarksdemokraterne,15,45524,324,20221030,Blå blok
Dansk Folkeparti,31,68739,725,20221030,Blå blok
Enhedslisten,24,72730,91,20221030,Rød blok
Frie Grønne,2,4060,7,20221030,Rød blok
Konservative,101,344403,1154,20221030,Blå blok
Kristendemokraterne,18,28381,88,20221030,Blå blok
Liberal Alliance,24,124263,490,20221030,Blå blok
Moderaterne,17,77619,132,20221030,Blå blok
Nye Borgerlige,30,76267,548,20221030,Blå blok
Radikale Venstre,41,80576,528,20221030,Rød blok
Socialdemokratiet,71,185670,647,20221030,Rød blok
Socialistisk Folkeparti,60,188016,640,20221030,Rød blok
Venstre,83,255819,1707,20221030,Blå blok
Alternativet,13,20198,82,20221031,Rød blok
Andet,2,27367,2,20221031,Andet
Danmarksdemokraterne,14,38738,289,20221031,Blå blok
Dansk Folkeparti,32,99492,747,20221031,Blå blok
Enhedslisten,25,101649,107,20221031,Rød blok
Frie Grønne,3,2592,9,20221031,Rød blok
Konservative,107,330437,1148,20221031,Blå blok
Kristendemokraterne,21,29288,92,20221031,Blå blok
Liberal Alliance,25,131703,513,20221031,Blå blok
Moderaterne,22,91439,160,20221031,Blå blok
Nye Borgerlige,31,88523,411,20221031,Blå blok
Radikale Venstre,46,76652,523,20221031,Rød blok
Socialdemokratiet,72,361910,724,20221031,Rød blok
Socialistisk Folkeparti,64,270425,643,20221031,Rød blok
Venstre,85,328851,1735,20221031,Blå blok
Alternativet,9,11492,52,20221101,Rød blok
Andet,2,5294,2,20221101,Andet
Danmarksdemokraterne,14,38503,279,20221101,Blå blok
Dansk Folkeparti,27,54027,687,20221101,Blå blok
Enhedslisten,22,94779,86,20221101,Rød blok
Frie Grønne,3,8861,6,20221101,Rød blok
Konservative,94,220004,866,20221101,Blå blok
Kristendemokraterne,14,23731,54,20221101,Blå blok
Liberal Alliance,23,138856,475,20221101,Blå blok
Moderaterne,22,77549,163,20221101,Blå blok
Nye Borgerlige,29,68190,287,20221101,Blå blok
Radikale Venstre,43,67399,471,20221101,Rød blok
Socialdemokratiet,65,277271,569,20221101,Rød blok
Socialistisk Folkeparti,58,243142,537,20221101,Rød blok
Venstre,74,268130,1387,20221101,Blå blok
