Page ID,Page name,Disclaimer,Parti,Amount spent (DKK),Number of ads in Library,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat,Day,Blok
110269115021246,Chris Preuss,Chris Holst Preuss,Venstre,114,2,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
112020258283732,Pia Offer Madsen,Venstre Assens kredsen,Venstre,126,1,Politiker,Kvinde,Side,,,FTV kandidat,20221001,Blå blok
112980887718607,Jens Kloppenborg,Jens Kloppenborg-Skrumsager,Venstre,548,42,Politiker,Mand,Side,,,,20221001,Blå blok
256754327854276,Jacob Jensen,Jacob Jensen,Venstre,421,5,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",Venstre,200,1,Politiker,Mand,Side,MF'ere,Partileder,FTV kandidat,20221001,Blå blok
362875644473220,Kim Valentin,Valentin Kim,Venstre,165,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
368634453338332,Thomas Danielsen,Thomas Danielsen,Venstre,404,7,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
389665107805619,Michael Aastrup Jensen,Jensen Michael Aastrup,Venstre,138,3,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
390925417751473,Erling Bonnesen,Erling Bonnesen,Venstre,289,3,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
539568842764605,Christoffer Aagaard Melson,Melson Christoffer Aagaard,Venstre,128,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
561507140593570,Hans Andersen,Hans Andersen,Venstre,171,3,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
577345799101307,Morten Dahlin,Morten Dahlin,Venstre,448,106,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
687073988036611,Martin Geertsen,Geertsen Martin Raahauge,Venstre,356,4,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
699619700116377,Sophie Løhde,Venstre i Egedalkredsen,Venstre,314,4,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Blå blok
1408142216156387,Lars Chr. Lilleholt,Lars Chr. Lilleholt,Venstre,1015,15,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
